course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Confidence 10X: The Complete Guide To Unshakable Confidence,928248,Silviu Marisk | M.B.A.,"Confidence, Self Esteem & Confidence, Personal Development",Confidence,All Levels,9 hours,4.8,4358,16460,"Rp149,000",2/2026,2,0,0,https://www.udemy.com/course/10x-ultra-confidence/
SELF-CONFIDENCE: 40-minute Confidence & Self Esteem Guide,989196,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support","Self-Esteem, Confidence, Self Esteem & Confidence, Personal Development",Confidence,All Levels,8.5 hours,4.6,26040,99415,"Rp229,000",11/2025,0,0,54,https://www.udemy.com/course/self-confidence-40-minute-confidence-self-esteem-guide/
Double Your Confidence & Self Esteem - Complete Blueprint,103738,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support","Confidence, Self Esteem & Confidence, Personal Development",Confidence,All Levels,10 hours,4.7,6219,51201,"Rp149,000",11/2025,0,0,21,https://www.udemy.com/course/double-your-confidence-self-esteem/
Confidence: Build Inner Confidence & Boost your Self Esteem,4929000,Chris Croft,"Confidence, Self-Esteem, Self-Discipline, Self Esteem & Confidence, Personal Development",Confidence,All Levels,2.5 hours,4.7,1584,6283,"Rp149,000",5/2025,0,0,10,https://www.udemy.com/course/inner-confidence/
A Complete Guide to Unshakable Confidence and Assertiveness,1328588,"Kain Ramsay, The School for Self-Improvement and Personal Growth, Academy of Applied Psychology","Confidence, Assertiveness, Emotional Intelligence, Self-Awareness, Self Esteem & Confidence",Confidence,All Levels,11.5 hours,4.5,3629,22583,"Rp209,000",8/2025,3,0,45,https://www.udemy.com/course/the-nlp-confidence-self-esteem-breakthrough-online-course/
Self Esteem & Social Skills Course for Anxious and Awkward,4860912,"Jimmy Naraine • Official Udemy Partner, Jimmy Naraine Support","Self-Esteem, Self Esteem & Confidence, Personal Development",Confidence,Beginner,9.5 hours,4.8,1362,6391,"Rp149,000",11/2025,0,0,71,https://www.udemy.com/course/self-esteem-social-skills-course-for-anxious-and-awkward/
"How I Overcame Social Anxiety, Grew Confidence & Self-Esteem",394952,Tobias Atkins,"Anxiety Management, Confidence, Self Esteem & Confidence, Personal Development",Confidence,All Levels,7.5 hours,4.6,1259,14202,"Rp149,000",11/2017,24,0,0,https://www.udemy.com/course/build-rock-solid-confidence-self-esteem-become-your-best/
CONFIDENCE Tools - Confidence & Self Esteem for Introverts,2315630,"Jimmy Naraine • Official Udemy Partner, Richard Korbut, Jimmy Naraine Support","Confidence, Anxiety Management, Personal Transformation, Self-Esteem, Personal Development",Confidence,All Levels,2 hours,4.7,2559,11051,"Rp149,000",12/2023,0,0,2,https://www.udemy.com/course/confidence-for-introverts-top-confidence-building-tools/
Assertiveness Masterclass - How to be Assertive & Likeable,2723394,"CRFT Productions, Chris Croft","Assertiveness, Negotiation, Confidence, Difficult Conversations, Communication",Confidence,All Levels,3.5 hours,4.6,3805,13942,"Rp149,000",5/2025,0,0,25,https://www.udemy.com/course/assertiveness-likeable/
Build Your Self-Confidence in 30 Days,6379689,simodev | Personal development,"Confidence, Self Esteem & Confidence, Personal Development",Confidence,All Levels,2 hours,5.0,4,10,"Rp149,000",1/2025,0,0,23,https://www.udemy.com/course/build-your-self-confidence/
