course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
The Complete Cryptocurrency Course: More than 5 Courses in 1,1623098,Chris Haroun | 1.7 Million Students | #1 Best Selling Business & Finance Prof.,"Cryptocurrency, Blockchain, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency,All Levels,23.5 hours,4.5,19424,165280,"Rp159,000",5/2025,8,0,5,https://www.udemy.com/course/the-complete-cryptocurrency-course-more-than-5-courses-in-1/
Cryptocurrency Investment Course: Fund your Retirement!,1223900,Suppoman ™,"Cryptocurrency, Bitcoin, Ethereum, Financial Trading, Cryptocurrency & Blockchain",Cryptocurrency,All Levels,19.5 hours,4.6,25323,123317,"Rp169,000",3/2026,12,0,0,https://www.udemy.com/course/cryptocurrency/
Cryptocurrency Forensics: On-Chain Investigations,6572059,Davide Marzano,"Cryptocurrency, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency,All Levels,4.5 hours,4.5,85,375,"Rp149,000",1/2026,0,0,3,https://www.udemy.com/course/cryptocurrency-forensics-2025-full-guide/
Cryptocurrency 101: The Ultimate Guide for Beginners,6971231,Analytics Academy,"Cryptocurrency, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency,All Levels,2 hours,4.6,71,127,"Rp149,000",2/2026,1,0,0,https://www.udemy.com/course/cryptocurrency-101-the-ultimate-guide-for-beginners/
The Complete Cryptocurrency Investment Course,1884490,"Mohsen Hassan, bloom team","Cryptocurrency, Investing, Bitcoin, Blockchain, Cryptocurrency & Blockchain",Cryptocurrency,All Levels,12.5 hours,4.6,9435,47444,"Rp239,000",11/2024,1,0,2,https://www.udemy.com/course/complete-cryptocurrency-investing-course-passive-active/
Cryptocurrency Algorithmic Trading with Python and Binance,4292024,Alexander Hagmann,"Cryptocurrency, Python, Algorithmic Trading, Binance, Cryptocurrency & Blockchain",Cryptocurrency,All Levels,37.5 hours,4.6,2340,24123,"Rp159,000",12/2025,53,1,13,https://www.udemy.com/course/cryptocurrency-algorithmic-trading-with-python-and-binance/
Cryptocurrency & Bitcoin: Trading With Technical Analysis,3824020,"Steve Ballinger, MBA","Bitcoin Trading, Bitcoin, Cryptocurrency, Technical Analysis (finance), Investing & Trading",Cryptocurrency,All Levels,12.5 hours,4.6,1524,10603,"Rp159,000",2/2026,2,0,0,https://www.udemy.com/course/cryptocurrency-bitcoin-trading-technical-analysis/
Cryptocurrency Investing for Beginners: 2025 Edition,6297069,John Doukasse | MoneyStars,"Cryptocurrency, Bitcoin, Blockchain, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency,All Levels,8 hours,4.6,142,573,"Rp149,000",8/2025,5,0,0,https://www.udemy.com/course/cryptocurrency-and-bitcoin-investing-guide-2025-edition/
The Complete Cryptocurrency Investing Expert Masterclass,5365720,"Henrique Centieiro, Bee Lee","Cryptocurrency, Investing, Bitcoin Trading, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency,All Levels,12 hours,4.7,107,696,"Rp159,000",3/2026,4,0,4,https://www.udemy.com/course/the-complete-cryptocurrency-investing-expert-masterclass/
The Advanced Cryptocurrency Trading Course - With Strategies,2500544,"Mohsen Hassan, bloom team","Day Trading, Cryptocurrency, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency,All Levels,6 hours,4.6,5019,32448,"Rp159,000",5/2024,1,0,1,https://www.udemy.com/course/the-advanced-cryptocurrency-trading-course-with-strategies/
Blockchain and Bitcoin Fundamentals,1151036,George Levy,"Bitcoin, Blockchain, Cryptocurrency & Blockchain, Other IT & Software, Finance & Accounting",Cryptocurrency,Beginner,3.5 hours,4.6,46523,138639,"Rp169,000",4/2026,1,0,5,https://www.udemy.com/course/blockchain-and-bitcoin-fundamentals/
Beginner's Guide to Understanding and Using Cryptocurrency,5756848,George Yates,"Cryptocurrency, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency,All Levels,3.5 hours,4.3,11,16,"Rp149,000",2/2024,0,0,0,https://www.udemy.com/course/beginners-guide-to-understanding-cryptocurrency/
