course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
The Complete Cryptocurrency Course: More than 5 Courses in 1,1623098,Chris Haroun | 1.7 Million Students | #1 Best Selling Business & Finance Prof.,"Cryptocurrency, Blockchain, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency & Blockchain,All Levels,23.5 hours,4.5,19424,165280,"Rp159,000",5/2025,8,0,5,https://www.udemy.com/course/the-complete-cryptocurrency-course-more-than-5-courses-in-1/
Build a Blockchain and a Cryptocurrency from Scratch,1544802,David Joseph Katz,"Cryptocurrency, Node.Js, Bitcoin, Blockchain, Software Engineering",Cryptocurrency & Blockchain,Intermediate,14 hours,4.7,3605,25234,"Rp159,000",10/2025,5,0,45,https://www.udemy.com/course/build-blockchain/
"Blockchain A-Z: Build a Blockchain, a Crypto + ChatGPT Prize",1594488,"Hadelin de Ponteves, Kirill Eremenko, SuperDataScience Team, Ligency ​","Blockchain, Business Analytics & Intelligence, Business",Cryptocurrency & Blockchain,All Levels,14.5 hours,4.7,23349,133347,"Rp329,000",9/2025,12,0,0,https://www.udemy.com/course/build-your-blockchain-az/
Build a Blockchain & Cryptocurrency | Full-Stack Edition,2034156,David Joseph Katz,"Blockchain, Cryptocurrency, Node.Js, Web Development, Development",Cryptocurrency & Blockchain,Intermediate,21.5 hours,4.5,2867,22754,"Rp359,000",10/2025,42,0,0,https://www.udemy.com/course/build-blockchain-full-stack/
The Complete Cryptocurrency Investment Course,1884490,"Mohsen Hassan, bloom team","Cryptocurrency, Investing, Bitcoin, Blockchain, Cryptocurrency & Blockchain",Cryptocurrency & Blockchain,All Levels,12.5 hours,4.6,9435,47444,"Rp239,000",11/2024,1,0,2,https://www.udemy.com/course/complete-cryptocurrency-investing-course-passive-active/
Blockchain and Cryptocurrency Fundamentals course,4576898,Igor Pejic,"Blockchain, Fintech, Digital Transformation, Business Strategy, Business",Cryptocurrency & Blockchain,Beginner,3.5 hours,4.6,84,261,"Rp149,000",4/2023,0,0,4,https://www.udemy.com/course/blockchain-and-cryptocurrency-fundamentals-course/
Fintech 101 Blockchain & Crypto,5653208,Tristan Pelloux,"Blockchain, Cryptocurrency, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency & Blockchain,Beginner,1.5 hours,4.7,22,3226,"Rp149,000",1/2024,1,0,0,https://www.udemy.com/course/fintech-101-blockchain-crypto/
Cryptocurrency Investment Course: Fund your Retirement!,1223900,Suppoman ™,"Cryptocurrency, Bitcoin, Ethereum, Financial Trading, Cryptocurrency & Blockchain",Cryptocurrency & Blockchain,All Levels,19.5 hours,4.6,25323,123317,"Rp169,000",3/2026,12,0,0,https://www.udemy.com/course/cryptocurrency/
Blockchain and Bitcoin Fundamentals,1151036,George Levy,"Bitcoin, Blockchain, Cryptocurrency & Blockchain, Other IT & Software, Finance & Accounting",Cryptocurrency & Blockchain,Beginner,3.5 hours,4.6,46523,138639,"Rp169,000",4/2026,1,0,5,https://www.udemy.com/course/blockchain-and-bitcoin-fundamentals/
"Full Cryptocurrency Course: Bitcoin, Ethereum & Blockchain",1464932,Marcus Gustafsson,"Cryptocurrency, Bitcoin, Ethereum, Blockchain, Other IT & Software",Cryptocurrency & Blockchain,All Levels,2 hours,4.6,2446,10043,"Rp149,000",3/2018,0,0,0,https://www.udemy.com/course/full-cryptocurrency-course-bitcoin-ethereum-blockchain/
Blockchain and Cryptocurrency: From Basics to Advanced,6094885,Omolu Osivue Christopher,"Cryptocurrency, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency & Blockchain,All Levels,3.5 hours,4.4,15,694,"Rp149,000",1/2025,2,0,0,https://www.udemy.com/course/blockchain-and-cryptocurrency-from-basics-to-advanced/
Learn Blockchain Technology & Cryptocurrency in Java,1610110,Holczer Balazs,"Cryptocurrency, Java, Blockchain, Cryptocurrency & Blockchain, Other IT & Software",Cryptocurrency & Blockchain,All Levels,7 hours,4.6,1809,8250,"Rp149,000",4/2026,2,0,1,https://www.udemy.com/course/learn-blockchain-technology-in-java/
"Blockchain & Cryptocurrency (Bitcoin, Ethereum) Essentials",1447240,Frahaan Hussain,"Blockchain, Ethereum, Cryptocurrency, Bitcoin, Cryptocurrency & Blockchain",Cryptocurrency & Blockchain,All Levels,9.5 hours,4.0,791,45956,"Rp149,000",1/2018,57,0,0,https://www.udemy.com/course/bitcoin-ethereum-blockchain/
Complete Cryptocurrency & Blockchain Course | Learn Solidity,2269436,"Codestars • over 2.5 million students worldwide!, Ravinder Deol, Thomas Wiesner","Blockchain, Ethereum, Cryptocurrency, Developer Tools, Cryptocurrency & Blockchain",Cryptocurrency & Blockchain,All Levels,15.5 hours,4.1,96,1051,"Rp149,000",12/2025,13,0,0,https://www.udemy.com/course/complete-cryptocurrency-blockchain-course/
Bitcoin & Blockchain Basics: Dive into Cryptocurrency,4434100,Nesrine BELDI,"Bitcoin, Bitcoin Trading, Blockchain, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency & Blockchain,Beginner,3 hours,4.9,14,161,"Rp149,000",4/2024,0,0,0,https://www.udemy.com/course/bitcoin-and-blockchain-fundamentals-for-beginners/
"Crash Course: Blockchain, Cryptocurrency & NFT for Beginner",4913290,Johannes Straessle,"Cryptocurrency, Blockchain, NFT (Non-Fungible Tokens), Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency & Blockchain,Beginner,2 hours,4.9,26,165,"Rp149,000",2/2023,1,0,1,https://www.udemy.com/course/crash-course-blockchain-cryptocurrencies-nft-en/
"Python, JS, & React | Build a Blockchain & Cryptocurrency",2610396,David Joseph Katz,"Cryptocurrency, React JS, JavaScript, Python, Software Engineering",Cryptocurrency & Blockchain,All Levels,15 hours,4.6,1076,8287,"Rp149,000",10/2025,36,0,3,https://www.udemy.com/course/python-js-react-blockchain/
Cryptocurrency Financial Crime Compliance Bootcamp,3463790,Financial Crime Academy,"Anti-Money Laundering (AML), Blockchain, Cryptocurrency, Compliance, Finance & Accounting",Cryptocurrency & Blockchain,All Levels,5.5 hours,4.5,783,3005,"Rp149,000",2/2024,16,0,7,https://www.udemy.com/course/blockchain-cryptocurrency-financial-crime-compliance/
The Complete Course on Blockchain and Bitcoin,1585810,"Heinrich Rusche, Jens Noertershaeuser","Blockchain, Bitcoin, Cryptocurrency, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency & Blockchain,Beginner,3 hours,4.3,260,10407,"Rp1,799,000",11/2021,6,0,23,https://www.udemy.com/course/primer-on-blockchain-and-bitcoin/
"Accounting for Digital Assets, Cryptocurrency and Blockchain",6652519,Akibul Azim Chowdhury,"Cryptocurrency, Accounting & Bookkeeping, Finance & Accounting",Cryptocurrency & Blockchain,All Levels,3 hours,4.6,16,1706,"Rp149,000",9/2025,2,0,17,https://www.udemy.com/course/accounting-for-digital-assets-cryptocurrency-and-blockchain/
Cryptocurrency and Blockchain Foundation Course 2021 Edition,3237519,Japhet Lim,"Cryptocurrency, Blockchain, Other IT & Software, IT & Software",Cryptocurrency & Blockchain,Beginner,8.5 hours,4.7,50,243,"Rp149,000",2/2021,11,0,17,https://www.udemy.com/course/cryptocurrency-and-blockchain-foundation-course/
Advanced Cryptocurrency and Blockchain: Full Stack Course,6588925,Faraz Soofi,"Cryptocurrency, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency & Blockchain,All Levels,4 hours,4.0,1,4,"Rp149,000",5/2025,0,0,0,https://www.udemy.com/course/advanced-cryptocurrency-and-blockchain-full-stack-course/
Crypto Made Easy 2025: Your Cryptocurrency Beginner’s Guide,6317089,Bros Academy,"Cryptocurrency, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency & Blockchain,Beginner,3 hours,4.5,27,93,"Rp149,000",4/2025,0,0,0,https://www.udemy.com/course/crypto-made-easy-your-beginners-guide/
Blockchain Deep-Dive: from Bitcoin to Ethereum to Crypto,3849992,"Henrique Centieiro, Bee Lee","Blockchain, Bitcoin, Ethereum, Cryptocurrency, Cryptocurrency & Blockchain",Cryptocurrency & Blockchain,All Levels,13.5 hours,4.4,124,14034,"Rp149,000",3/2026,19,0,1,https://www.udemy.com/course/blockchain-deep-dive-from-bitcoin-to-ethereum-to-crypto/
Understanding Blockchain Chain Analysis,5700288,Dan Morrill,"Blockchain, Other IT & Software, IT & Software",Cryptocurrency & Blockchain,All Levels,8.5 hours,4.3,69,334,"Rp149,000",8/2024,2,0,2,https://www.udemy.com/course/understanding-blockchain-chain-analysis/
Blockchain for Business: The New Industrial Revolution,1630412,365 Careers,"Ethereum, Business Fundamentals, Business Strategy, Blockchain, Entrepreneurship",Cryptocurrency & Blockchain,All Levels,6 hours,4.7,9673,38036,"Rp149,000",1/2026,4,0,0,https://www.udemy.com/course/blockchain-for-business-the-new-industrial-revolution/
Master Cryptocurrency Nodes: Running a Blockchain Node 101,6101015,Giwrgos Karatzas,"Cryptocurrency, Blockchain, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency & Blockchain,Beginner,2 hours,4.8,52,253,"Rp149,000",9/2024,24,0,7,https://www.udemy.com/course/master-cryptocurrency-nodes-running-a-blockchain-node-101/
Master Course in Cryptocurrency and Blockchain 2.0,5205800,Dr. José Prabhu J,"Blockchain, Cryptocurrency, Cryptography, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency & Blockchain,All Levels,1 hour,3.8,189,25873,"Rp149,000",7/2025,0,0,0,https://www.udemy.com/course/cryptocurrency-blockchain-technology-bitcoin-ethereum-crypto/
The Complete Bitcoin Investment Course,5926620,"Mohsen Hassan, Ilyass Tabiai","Bitcoin, Blockchain, Economics, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency & Blockchain,All Levels,16.5 hours,4.7,216,1206,"Rp149,000",12/2024,5,0,0,https://www.udemy.com/course/understanding-bitcoin-the-complete-bitcoin-course/
Cryptocurrencies from A-Z: The First Steps in Crypto,4664046,Claudiu Ivan Academy,"Cryptocurrency, Blockchain, Cryptocurrency & Blockchain, Finance & Accounting",Cryptocurrency & Blockchain,All Levels,4.5 hours,4.5,394,2273,"Rp149,000",7/2025,1,0,9,https://www.udemy.com/course/cryptocurrencies-from-a-z-the-first-steps-in-crypto/
Bitcoin and Cryptocurrency Bootcamp,1664822,"Colt Steele, Kevin Katz","Cryptocurrency, Blockchain, Ethereum, Bitcoin, Cryptocurrency & Blockchain",Cryptocurrency & Blockchain,All Levels,8.5 hours,4.5,2627,11200,"Rp149,000",6/2018,1,0,1,https://www.udemy.com/course/bitcoin-and-cryptocurrency-bootcamp/
Blockchain And Cryptocurrency Definitions For Beginners,4351466,Alex Genadinik,"Cryptocurrency, Bitcoin, Other Business, Business",Cryptocurrency & Blockchain,Beginner,1.5 hours,4.3,7,43,"Rp149,000",9/2025,0,0,10,https://www.udemy.com/course/cryptocurrency-introduction-for-beginners/
