course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
CompTIA Security+ (SY0-701) Complete Course & Practice Exam,2015076,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA Security+, Cybersecurity, Information Security, IT Certifications, IT & Software",Cybersecurity,All Levels,31 hours,4.7,116684,482272,"Rp169,000",4/2026,1,0,0,https://www.udemy.com/course/securityplus/
The Complete Hands-On Cybersecurity Analyst Course,6176211,"Mike S, Josh G","Cybersecurity, Network & Security, IT & Software",Cybersecurity,All Levels,91.5 hours,4.7,1378,12544,"Rp169,000",3/2026,0,0,2,https://www.udemy.com/course/the-complete-hands-on-cybersecurity-analyst-course/
The Complete Certified in Cybersecurity CC course ISC2 2026,4672448,"Thor Pedersen | 670,000+ Enrollments Worldwide, ThorTeaches Support","Cybersecurity, Cybersecurity Awareness, Certified in Cybersecurity (CC), Network & Security, IT & Software",Cybersecurity,All Levels,17.5 hours,4.7,14786,71984,"Rp169,000",3/2026,6,0,15,https://www.udemy.com/course/certifiedincybersecurity/
CompTIA Security+ (SY0-701) Practice Exams Set 1,5652528,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Jamario Kelly, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA Security+, IT Certifications, IT & Software",Cybersecurity,N/A,N/A,4.5,N/A,58739,"Rp169,000",4/2026,0,0,0,https://www.udemy.com/course/comptia-security-sy0-701-practice-exams/
Full Cybersecurity Course From 0: Ethical Hacking & Defense,5900324,Sunny dimalu,"Cybersecurity, Ethical Hacking, PowerShell, Kali Linux, Network & Security",Cybersecurity,All Levels,30 hours,4.6,369,1648,"Rp149,000",4/2026,11,0,1,https://www.udemy.com/course/hands-on-cyber-security-and-ethical-hacking-from-0/
Learn Ethical Hacking From Scratch,857010,"Zaid Sabih, z Security","Ethical Hacking, Security Hacking, Kali Linux, Penetration Testing, Network & Security",Cybersecurity,All Levels,15 hours,4.6,136200,671798,"Rp169,000",11/2025,2,0,21,https://www.udemy.com/course/learn-ethical-hacking-from-scratch/
Cybersecurity for Absolute Beginners: Essential Concepts,4611846,"Alton Teaches LLC, Alton Hardin | 250,000+ Enrollments Worldwide","Cybersecurity, Network Security, Cybersecurity Awareness, Network & Security, IT & Software",Cybersecurity,Beginner,4 hours,4.7,2431,9192,"Rp149,000",2/2026,8,0,1,https://www.udemy.com/course/cyber-security-for-absolute-beginners-essential-concepts/
CompTIA CySA+ (CS0-003) Complete Course & Practice Exam,5017474,"Jason Dion • 3 Million+ Enrollments Worldwide, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions • ATO for ITIL & PRINCE2, Dion Training Solutions, Jason Dion • 2.8 Million+ Enrollments Worldwide","CompTIA Cybersecurity Analyst (CySA+), IT Certifications, IT & Software",Cybersecurity,Intermediate,36 hours,4.6,11485,68299,"Rp169,000",4/2026,1,0,3,https://www.udemy.com/course/comptia-cysa-003/
Cybersecurity 101: Foundations for Absolute Beginners,6613447,School of AI,"Cybersecurity, Network & Security, IT & Software",Cybersecurity,All Levels,3.5 hours,4.6,1864,27483,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/cybersecurity-101-foundations-for-absolute-beginners/
Complete Introduction to Cybersecurity 2026,4038718,Grant Collins,"Cybersecurity, Network & Security, IT & Software",Cybersecurity,Beginner,2.5 hours,4.4,8387,64156,"Rp159,000",1/2026,2,0,1,https://www.udemy.com/course/complete-introduction-to-cybersecurity/
