course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
DaVinci Resolve Mastery: The Complete Video Editing Bootcamp,1390206,"Louay Zambarakji, KaiVersity.com - Lucas Roomé","DaVinci Resolve, Color Grading, VFX Compositing, Video Editing, Video Design",DaVinci Resolve,All Levels,16 hours,4.6,14305,81025,"Rp169,000",3/2026,3,0,4,https://www.udemy.com/course/davinci-resolve-training-course/
DaVinci Resolve Essentials - Beginner Video Editing Course,7013885,Daniel Walter Scott,"DaVinci Resolve, Video Design, Photography & Video",DaVinci Resolve,Beginner,13 hours,4.6,68,414,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/davinci-training-course/
Color Grading with Da Vinci Resolve: Beginner to Advanced,1924662,Matthew Falconer,"Color Grading, Video Design, Photography & Video",DaVinci Resolve,All Levels,34 hours,4.5,5189,33569,"Rp209,000",7/2025,13,0,0,https://www.udemy.com/course/color-grading-with-da-vinci-resolve-beginner-to-advanced/
DaVinci Resolve 20 Masterclass,6829233,Adi Singh,"DaVinci Resolve, Video Design, Photography & Video",DaVinci Resolve,All Levels,6.5 hours,4.6,142,645,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/davinci-resolve-20-masterclass/
The Ultimate Color Grading Bootcamp in DaVinci Resolve,6558867,Sana Shaharyar,"Color Grading, DaVinci Resolve, Video Design, Photography & Video",DaVinci Resolve,All Levels,8.5 hours,4.8,375,3703,"Rp159,000",7/2025,0,0,10,https://www.udemy.com/course/the-ultimate-color-grading-bootcamp-in-davinci-resolve/
DaVinci Resolve: Video Editing in DaVinci Resolve,1771952,"Phil Ebiner, Kashif A., Video School, Abdullah A.","DaVinci Resolve, Video Editing, Video Production, Video Marketing, Design Tools",DaVinci Resolve,All Levels,15.5 hours,4.5,3901,39213,"Rp209,000",2/2025,6,0,16,https://www.udemy.com/course/davinci-resolve15/
Learn DaVinci Resolve: The Complete Compact Guide,6646023,Khair ullah,"DaVinci Resolve, Video Design, Photography & Video",DaVinci Resolve,Beginner,1.5 hours,4.8,109,330,"Rp149,000",5/2025,0,0,0,https://www.udemy.com/course/learn-davinci-resolve-the-complete-compact-guide/
Master Color Grading in DaVinci Resolve,5644926,Kasia Jarco,"Color Grading, Video Design, Photography & Video",DaVinci Resolve,All Levels,2 hours,4.4,242,1763,"Rp149,000",4/2024,0,0,0,https://www.udemy.com/course/master-color-grading-in-davinci-resolve/
Master DaVinci Resolve 20: Pro Video Editing [updated 2025],4660364,Alex Assenmacher,"DaVinci Resolve, Video Design, Photography & Video",DaVinci Resolve,All Levels,3.5 hours,4.5,470,1894,"Rp149,000",1/2026,1,0,2,https://www.udemy.com/course/davinci-18/
Complete Davinci Resolve 20 Bootcamp - Fusion - Particles,6275499,Raffi Bedross,"DaVinci Resolve, Video Editing, BlackMagic Fusion, VFX Visual Effects, Video Design",DaVinci Resolve,All Levels,8 hours,4.4,60,469,"Rp149,000",7/2025,0,0,18,https://www.udemy.com/course/complete-davinci-resolve-bootcamp-fusion-particles/
Adobe Premiere Pro Masterclass: Video Editing in Premiere,926512,"Phil Ebiner, Video School","Adobe Premiere Pro, Video Production, Video Marketing, Video Editing, Video Design",DaVinci Resolve,All Levels,27 hours,4.6,46080,517169,"Rp169,000",12/2025,7,0,6,https://www.udemy.com/course/adobe-premiere-pro-video-editing/
Video Editing Masterclass: Edit Your Videos Like a Pro!,4144820,Julian Melanson,"Video Editing, Video Design, Photography & Video",DaVinci Resolve,All Levels,16.5 hours,4.4,1820,26748,"Rp149,000",3/2026,7,0,21,https://www.udemy.com/course/video-editing-masterclass/
Débuter sur Davinci Resolve,7088255,Matteo Bognel,"Video Editing, Other Photography & Video, Photography & Video",DaVinci Resolve,Beginner,1.5 hours,4.6,N/A,N/A,"Rp149,000",3/2026,3,0,0,https://www.udemy.com/course/debuter-sur-davinci-resolve/
【完全初心者向け】DaVinci Resolve 20 入門 ─ カット・編集・カラーをゼロから丁寧に解説,7086743,動画製作 工房,"Video Editing, Video Design, Photography & Video",DaVinci Resolve,Beginner,2 hours,4.6,N/A,N/A,"Rp849,000",4/2026,1,0,0,https://www.udemy.com/course/davinci-resolve-o/
Aprende a realizar una Intro con FUSION de DAVINCI RESOLVE,7049711,Formación Fernando Sainz Pereda,"Other Photography & Video, Photography & Video",DaVinci Resolve,Beginner,4 hours,4.5,1,1,"Rp149,000",2/2026,0,0,5,https://www.udemy.com/course/aprende-a-realizar-una-intro-con-fusion-de-davinci-resolve/
Apprenez DaVinci Resolve : La Formation Complète,7092443,Clément L. | Microsoft | Power BI | Excel | Business Intelligence | IA,"DaVinci Resolve, Video Design, Photography & Video",DaVinci Resolve,All Levels,2 hours,5.0,15,22,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/apprenez-davinci-resolve-la-formation-complete/
DaVinci Resolve: From Beginner to Expert,6033642,EDUCBA Bridging the Gap,"DaVinci Resolve, Design Tools, Design",DaVinci Resolve,All Levels,29 hours,3.9,27,1213,"Rp149,000",6/2024,0,0,0,https://www.udemy.com/course/davinci-resolve-from-beginner-to-expert/
Project-Led Editing in Da Vinci Resolve Beginner to Advanced,2929232,Matthew Falconer,"Video Editing, Audio Editing, Video Design, Photography & Video",DaVinci Resolve,All Levels,23.5 hours,4.4,824,5085,"Rp159,000",11/2024,3,0,4,https://www.udemy.com/course/practical-video-editing-in-resolve-beginner-to-advanced/
DaVinci Resolve in-depth software training for video editing,5922080,Aurélio Emmerick Ferreira •● 8000+ alunos ●•,"DaVinci Resolve, VFX Compositing, Video Editing, Color Grading, Video Design",DaVinci Resolve,Beginner,11.5 hours,4.0,87,532,"Rp149,000",2/2026,0,0,26,https://www.udemy.com/course/in-depth-video-editing-in-davinci-resolve/
Cinematic Look Made Easy In DaVinci Resolve,6677951,Adi Singh,"DaVinci Resolve, Video Design, Photography & Video",DaVinci Resolve,All Levels,1.5 hours,5.0,1,20,"Rp149,000",6/2025,0,0,0,https://www.udemy.com/course/cinematic-look-made-easy-in-davinci-resolve/
DaVinci Resolve 19 Masterclass,6372801,Adi Singh,"DaVinci Resolve, Video Editing, Video Design, Photography & Video",DaVinci Resolve,All Levels,7 hours,4.4,183,844,"Rp149,000",4/2025,0,0,0,https://www.udemy.com/course/davinci-resolve-19-mastercalss/
iPhone Filmmaker Masterclass,5586348,Adi Singh,"Videography, Video Design, Photography & Video",DaVinci Resolve,Beginner,6 hours,4.6,576,2649,"Rp149,000",10/2023,0,0,0,https://www.udemy.com/course/iphone-filmmaker-masterclass/
Adobe Premiere Pro CC – Essentials Training Course,3074134,Daniel Walter Scott,"Adobe Premiere Pro, Video Editing, Design Tools, Design",DaVinci Resolve,Beginner,16 hours,4.8,11436,47309,"Rp159,000",1/2025,1,0,0,https://www.udemy.com/course/adobe-premiere-pro-cc-essentials-training-course/
Complete DaVinci Resolve 17 Megacourse: Beginner to Expert,4577940,Skillademia Academy,"DaVinci Resolve, Color Grading, VFX Compositing, Video Editing, Video Design",DaVinci Resolve,All Levels,11.5 hours,4.0,100,17396,"Rp149,000",6/2022,0,0,0,https://www.udemy.com/course/complete-davinci-resolve-17-megacourse-beginner-to-expert/
DaVinci Resolve Bootcamp: A Complete Beginner’s Guide,6439011,"Rabbitt Learning (1,000,000+ Learners)","Video Editing, Color Grading, Video Design, Photography & Video",DaVinci Resolve,All Levels,2 hours,4.3,39,104,"Rp149,000",2/2025,0,0,0,https://www.udemy.com/course/davinci-resolve-bootcamp-a-complete-guide/
Video Editing in CapCut | Beginner to Pro | Desktop + Mobile,5733962,"AI Video School, Video School, Phil Ebiner, YouTube Academy : Support","CapCut, Video Production, Video Editing, Content Creation, Video Design",DaVinci Resolve,All Levels,3.5 hours,4.5,3213,25237,"Rp169,000",2/2026,3,0,4,https://www.udemy.com/course/capcut-video-editing-course/
DaVinci Resolve Pro: Professional Video Editing 2025,3383492,Wayne Sables,"Video Editing, Videography, Video Design, Photography & Video",DaVinci Resolve,All Levels,4 hours,4.3,26,197,"Rp149,000",10/2025,0,0,2,https://www.udemy.com/course/video-editing-with-davinci-resolve/
Social Media Video Editing: Master Davinci Resolve in 1 Hour,5682784,Gonçalo Estrelado,"DaVinci Resolve, Other Photography & Video, Photography & Video",DaVinci Resolve,Beginner,1 hour,4.5,9,33,"Rp149,000",11/2023,0,0,0,https://www.udemy.com/course/social-media-video-editing-master-davinci-resolve-in-1-hour/
DaVinci Resolve for Wedding Film Makers,5682492,Bradley Jadir,"DaVinci Resolve, Video Design, Photography & Video",DaVinci Resolve,Beginner,5.5 hours,4.5,12,137,"Rp149,000",1/2025,0,0,1,https://www.udemy.com/course/davinci-resolve-for-wedding-film-makers/
All about video editing in Davinci Resolve,6268659,Oleh Koturha,"Video Editing, Other Photography & Video, Photography & Video",DaVinci Resolve,All Levels,11.5 hours,5.0,3,8,"Rp899,000",11/2024,0,0,0,https://www.udemy.com/course/editing-in-davinci-resolve/
DaVinci Resolve: Beginner to Advanced in DaVinci 18,4672134,Marius Manola,"DaVinci Resolve, Video Design, Photography & Video",DaVinci Resolve,Beginner,10 hours,4.1,158,9855,"Rp149,000",1/2024,4,0,12,https://www.udemy.com/course/davinci-resolve-18/
