course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Hip Hop Dance For Beginners,393732,Emeroy Bernardo,"Hip Hop Dancing, Dance, Hip Hop Music, Health & Fitness",Dance,Beginner,16 hours,4.7,925,20307,"Rp149,000",5/2025,0,0,0,https://www.udemy.com/course/hip-hop-dance-for-beginners/
Dance For Life: introduction to the essence of dance,5519910,Justas Kucinskas,"Dance, Mind-Body Connection, Creativity, Confidence, Other Personal Development",Dance,All Levels,7 hours,4.7,277,1812,"Rp159,000",12/2024,0,0,0,https://www.udemy.com/course/dance-for-life/
Ecstatic Dance & Conscious Dance Facilitator Training,6072115,Adam Godwin (MA),"Dance, Health & Fitness",Dance,All Levels,21 hours,4.7,262,1205,"Rp149,000",5/2025,0,0,11,https://www.udemy.com/course/ecstatic-dance-conscious-dance-facilitator-facilitation-training/
32 Footwork Dance Moves for Parties and Showing Off,1247064,Brian Bee,"Dance, Health & Fitness",Dance,Beginner,2.5 hours,4.6,183,3256,"Rp149,000",6/2017,0,0,0,https://www.udemy.com/course/footwork-dance-tutorial/
Basic Dance Moves for Guys - Completely beginner lessons,938962,Brian Bee,"Dance, Self Esteem & Confidence, Personal Development",Dance,Beginner,4 hours,4.5,1086,8674,"Rp149,000",7/2017,0,0,0,https://www.udemy.com/course/basic-dance-moves-for-guys/
7-Day Somatic Dance Ritual to Heal Your Chakras,6725611,Amy Secada,"Somatic Therapy, Dance, Yoga, Health & Fitness",Dance,All Levels,2 hours,4.9,105,639,"Rp149,000",7/2025,0,0,0,https://www.udemy.com/course/dance-of-the-chakras/
100 BACHATA STEPS IN YOUR POCKET-Beginner to Advanced,4433682,Learn How To Dance Bachata !,"Bachata, Dance, Health & Fitness",Dance,All Levels,16.5 hours,4.6,293,2276,"Rp149,000",11/2024,0,0,2,https://www.udemy.com/course/learn-bachata-steps-complete-course-beginner-intermediate-advanced/
Connect & Heal Through Dance Therapy | Somatic Movement,6058455,Alina Avdyukova,"Mindfulness, Dance, Art Therapy, Self-Acceptance, Happiness",Dance,All Levels,1 hour,4.3,143,570,"Rp149,000",12/2025,4,0,0,https://www.udemy.com/course/a-date-with-yourself-connect-heal-through-dance-therapy/
Belly Dance - Library of 88 Moves Broken Down for You,6480393,Zeva Wellness Susan,"Belly Dancing, Dance, Health & Fitness",Dance,All Levels,6.5 hours,4.9,11,125,"Rp149,000",4/2025,1,0,2,https://www.udemy.com/course/belly-dance-library-of-88-moves/
Ballroom 101: Social Dance for the Single Complete Beginner,4312446,Scott Lappin,"Dance, Health & Fitness",Dance,Beginner,3.5 hours,4.8,40,504,"Rp149,000",9/2021,0,0,6,https://www.udemy.com/course/ballroom-101-social-dance-for-the-single-beginner/
