course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Complete Data Analyst Bootcamp From Basics To Advanced,6074041,"Krish Naik, Jayant Topnani, KRISHAI Technologies Private Limited","Data Analysis, Business Analytics & Intelligence, Business",Data Analysis,All Levels,89 hours,4.5,17305,91586,"Rp169,000",1/2026,8,0,391,https://www.udemy.com/course/complete-data-analyst-bootcamp-from-basics-to-advanced/
"Data Analysis | SQL,Tableau,Power BI & Excel | Real Projects",5349390,Graeme Gordon,"Data Analysis, Tableau, Microsoft Power BI, SQL, Other IT & Software",Data Analysis,All Levels,13.5 hours,4.5,6107,33368,"Rp169,000",3/2026,8,5,49,https://www.udemy.com/course/data-analysis-projects-using-sql-power-bi-tableau-excel/
The Data Science Course: Complete Data Science Bootcamp 2026,1754098,365 Careers,"Data Science, Development",Data Analysis,All Levels,31.5 hours,4.6,160523,797488,"Rp169,000",2/2026,93,131,546,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/
Data Analysis for Beginners,5891024,Matthew Walcott,"Data Analysis, Data Visualization, Other IT & Software, IT & Software",Data Analysis,All Levels,4.5 hours,4.4,626,1797,"Rp159,000",12/2025,0,5,5,https://www.udemy.com/course/data-analysis-for-beginners/
Data Analytics Masters 2026 - From Basics To Advanced,5182120,"Dr. Satyajit Pattnaik, Satyajit Pattnaik","Data Analysis, Business Analytics & Intelligence, Business",Data Analysis,All Levels,61.5 hours,4.5,3573,36027,"Rp149,000",1/2026,19,0,18,https://www.udemy.com/course/data-analytics-masters-basics-to-advanced/
Data Analysis with Pandas and Python [2026],932344,Boris Paskhaver,"Data Analysis, Python, Pandas, Data Science, Development",Data Analysis,All Levels,37 hours,4.7,26151,222278,"Rp169,000",4/2026,4,32,2,https://www.udemy.com/course/data-analysis-with-pandas/
Data Analyst: Professional Certificate in Data Analysis,6300333,"MTF Institute of Management, Technology and Finance","Data Analysis, Data Science, Microsoft Excel, Business Analysis, Business Analytics & Intelligence",Data Analysis,All Levels,23 hours,4.5,1727,41982,"Rp159,000",2/2026,157,0,88,https://www.udemy.com/course/data-analyst-professional-certificate-in-data-analysis/
Data Analytics Career Path: 72 Days of Data Analyst Bootcamp,5787046,Shahriar's Sight Academy,"Data Analysis, Microsoft Excel, Python, SQL, Business Analytics & Intelligence",Data Analysis,All Levels,34.5 hours,4.3,1722,11085,"Rp169,000",8/2025,56,131,269,https://www.udemy.com/course/data-analytics-career-track/
Master Data Analysis with Microsoft Excel & Power BI,6672391,Ismaila Mumuni Omeiza,"Microsoft Power BI, Data Analysis, Microsoft Excel, IT Certifications, IT & Software",Data Analysis,All Levels,32.5 hours,4.5,105,1325,"Rp149,000",9/2025,0,0,16,https://www.udemy.com/course/master-data-analysis-with-microsoft-excel-power-bi/
Microsoft Power BI Desktop for Business Intelligence,1570206,"Maven Analytics • 1,500,000 Learners, Chris Dutton, Aaron Parry","Data Modeling, Business Intelligence (BI), Data Visualization, Microsoft Power BI, Business Analytics & Intelligence",Data Analysis,All Levels,17 hours,4.6,189048,752853,"Rp169,000",2/2026,9,0,9,https://www.udemy.com/course/microsoft-power-bi-up-running-with-power-bi-desktop/
