course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Data Warehouse - The Ultimate Guide,4626978,Nikolai Schuler,"Data Warehouse, Data Modeling, ETL, Business Analytics & Intelligence, Business",Data Modeling,All Levels,9.5 hours,4.6,12544,71056,"Rp159,000",3/2026,4,0,11,https://www.udemy.com/course/data-warehouse-the-ultimate-guide/
Mastering Data Modeling Fundamentals,2767896,Alan Simon,"Data Modeling, Operating Systems & Servers, IT & Software",Data Modeling,Beginner,3 hours,4.5,14578,63158,"Rp159,000",3/2020,1,0,0,https://www.udemy.com/course/mastering-data-modeling-fundamentals/
Data Modeling Foundations,6569503,George Smarts,"Data Modeling, Database Design & Development, Development",Data Modeling,All Levels,3.5 hours,4.6,266,1656,"Rp149,000",4/2026,1,0,8,https://www.udemy.com/course/data-modeling-foundations-learn/
Data Modeling with AI: Fundamentals to ChatGPT & Copilot,6819675,Dr. Florian Detzel | BI Academy,"Data Modeling, Business Intelligence (BI), Artificial Intelligence (AI), ChatGPT, Business Analytics & Intelligence",Data Modeling,All Levels,14.5 hours,5.0,20,179,"Rp149,000",2/2026,11,0,30,https://www.udemy.com/course/data-modeling-with-ai-chatgpt-copilot/
Building a Modern Data Warehouse - Data Engineering Bootcamp,6401559,Baraa Khatib Salkini,"Data Warehouse, SQL, Data Engineering, Business Intelligence (BI), Business Analytics & Intelligence",Data Modeling,All Levels,6.5 hours,4.7,800,4617,"Rp159,000",3/2025,2,0,2,https://www.udemy.com/course/building-a-modern-data-warehouse-data-engineering-bootcamp/
Data Modeling and Relational Database Design using ERwin,326806,Haris Kilikotu,"Data Modeling, Other IT & Software, IT & Software",Data Modeling,All Levels,4 hours,4.5,8129,34159,"Rp149,000",2/2025,4,0,8,https://www.udemy.com/course/datamodeling/
Mastering Data Modeling and Database Design,6117841,Abhinav Rana,"Data Modeling, Other IT & Software, IT & Software",Data Modeling,All Levels,5.5 hours,4.4,226,2288,"Rp149,000",12/2025,3,0,11,https://www.udemy.com/course/master-data-modelling-and-database-development/
Applied Data Modeling Using Snowflake and Power BI,6544265,Graeme Gordon,"Data Modeling, Snowflake, Microsoft Power BI, Data Science, Development",Data Modeling,All Levels,3.5 hours,4.6,78,654,"Rp159,000",3/2026,4,0,5,https://www.udemy.com/course/applied-data-modeling-using-snowflake-and-power-bi/
[2024] Mastering Data Modeling: Concept to Implementation,5849432,Global Trainers,"Data Modeling, Database Design & Development, Development",Data Modeling,All Levels,5 hours,4.3,705,4209,"Rp149,000",11/2025,0,0,25,https://www.udemy.com/course/mastering-data-modeling-from-concept-to-implementation/
Data Governance - The Complete Course for Beginners,4263588,George Smarts,"Data Governance, Database Management Systems (DBMS), Business Analytics & Intelligence, Business",Data Modeling,Beginner,9.5 hours,4.6,7903,33846,"Rp159,000",4/2026,1,0,31,https://www.udemy.com/course/data-governance-training-course/
Data Management: The Complete Masterclass,4632954,George Smarts,"Database Administration, Database Design & Development, Development",Data Modeling,All Levels,20 hours,4.5,5711,33654,"Rp169,000",4/2026,1,0,17,https://www.udemy.com/course/data-management-masterclass-the-complete-course/
Data Architecture for Data Engineers: Practical Approaches,6268045,Manas Jain,"Data Architecture, Data Modeling, Data Engineering, Other IT & Software, IT & Software",Data Modeling,All Levels,5 hours,4.5,1328,8325,"Rp159,000",11/2025,6,0,9,https://www.udemy.com/course/data-architecture-for-data-engineers/
Data Science Model Optimization - Practice Questions 2026,7073661,Jitendra Suryavanshi,"IT Certifications, IT & Software",Data Modeling,All Levels,N/A,N/A,N/A,100,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/data-science-model-optimization-questions/
Data Science Model Evaluation - Practice Questions 2026,7073653,Jitendra Suryavanshi,"IT Certifications, IT & Software",Data Modeling,All Levels,N/A,N/A,N/A,100,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/data-science-model-evaluation-questions/
MongoDB Associate Data Modeler Practice Tests,7095287,Bee In IT,"MongoDB, IT Certifications, IT & Software",Data Modeling,All Levels,N/A,4.7,N/A,1,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/mongodb-associate-data-modeler-practice-tests/
Python for Healthcare Data Analytics and Predictive Modeling,7069613,Blessing Asare,"Python, Business Analytics & Intelligence, Business",Data Modeling,All Levels,2.5 hours,4.4,8,103,"Rp149,000",4/2026,0,0,9,https://www.udemy.com/course/python-for-healthcare-data-analytics-and-predictive-modeling/
R Programming for Data Analysis and Data Science,7075297,Training Que,"R (programming language), Operating Systems & Servers, IT & Software",Data Modeling,Beginner,5 hours,4.6,N/A,100,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/r-programming-for-data-analysis-and-data-science/
Salesforce Data Cloud Consultant Mock Exams 2026,7067835,Nabil Anine,"Salesforce Certified Data Cloud Consultant, Business Analytics & Intelligence, Business",Data Modeling,All Levels,N/A,N/A,N/A,N/A,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/salesforce-data-cloud-consultant-mock-exams-2026/
Databricks for Modern Data Analytics + Certification Prep,7050945,Vivek P.,"Databricks Certified Data Analyst Associate, IT Certifications, IT & Software",Data Modeling,All Levels,8.5 hours,5.0,3,15,"Rp149,000",3/2026,1,0,9,https://www.udemy.com/course/databricks-for-modern-data-analytics/
Modern BI and Data Warehousing: A Conceptual Guide,7090465,Michael Shapira,"Business Intelligence (BI), Data Analysis, Business Analytics, Data Warehouse, Other IT & Software",Data Modeling,Beginner,4.5 hours,5.0,2,129,"Rp249,000",4/2026,11,0,3,https://www.udemy.com/course/modern-bi-and-data-warehousing-a-conceptual-guide/
The Complete dbt (Data Build Tool) Bootcamp: Zero to Hero,4405768,"Zoltan C. Toth (Nordquant), Miklos (Mike) Petridisz","dbt (Data Build Tool), Data Analysis, Snowflake, Data Engineering, Data Science",Data Modeling,All Levels,10 hours,4.6,10925,64934,"Rp149,000",3/2026,13,0,2,https://www.udemy.com/course/complete-dbt-data-build-tool-bootcamp-zero-to-hero-learn-dbt/
Analytics Engineering Bootcamp,4423012,"Rahul Prasad, David Badovinac","Data Warehouse, Google BigQuery, dbt (Data Build Tool), Data Modeling, Business Analytics & Intelligence",Data Modeling,Beginner,12 hours,4.5,1927,15089,"Rp149,000",5/2024,4,0,6,https://www.udemy.com/course/analytics-engineering-bootcamp/
EssentialSQL: Data Modeling & Relational Data Architecture,4821050,"Kris Wenzel, Essential Sql","Data Modeling, Database Design, SQL, T-SQL, Database Design & Development",Data Modeling,All Levels,3.5 hours,4.4,689,4263,"Rp149,000",2/2024,1,0,23,https://www.udemy.com/course/relational-database-design-sql/
The Data Science Course: Complete Data Science Bootcamp 2026,1754098,365 Careers,"Data Science, Development",Data Modeling,All Levels,31.5 hours,4.6,160523,797488,"Rp169,000",2/2026,93,131,546,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/
Modeling Data Warehouse with Data Vault 2.0,3655144,Esra Ekiz,"Data Warehouse, Agile, Big Data, Other IT & Software, IT & Software",Data Modeling,Intermediate,6 hours,4.4,4401,19327,"Rp159,000",3/2022,0,0,7,https://www.udemy.com/course/modeling-data-warehouse-with-data-vault-for-beginners/
Data Modeling Made Easy: A Beginner’s Guide to Data Modeling,6643567,Step2C Education,"Data Modeling, Database Design & Development, Development",Data Modeling,All Levels,2.5 hours,4.6,125,788,"Rp149,000",8/2025,0,0,4,https://www.udemy.com/course/data-modeling-for-beginners/
Data Warehouse Fundamentals for Beginners,2752048,Alan Simon,"Data Warehouse, Business Analytics & Intelligence, Business",Data Modeling,Beginner,5 hours,4.6,34073,126647,"Rp159,000",3/2020,1,0,0,https://www.udemy.com/course/data-warehouse-fundamentals-for-beginners/
Data Modeling: Power BI Data Modeling Essentials,6508625,"Ahmed Oyelowo, Foresight BI & Analytics. 100,000+ Learners","Data Modeling, Power Query, Data Analysis Expressions (DAX), Microsoft Power BI, Data Science",Data Modeling,All Levels,3.5 hours,4.6,173,835,"Rp149,000",3/2025,0,0,1,https://www.udemy.com/course/power-bi-data-modeling/
Complete Data Analyst Bootcamp From Basics To Advanced,6074041,"Krish Naik, Jayant Topnani, KRISHAI Technologies Private Limited","Data Analysis, Business Analytics & Intelligence, Business",Data Modeling,All Levels,89 hours,4.5,17305,91586,"Rp169,000",1/2026,8,0,391,https://www.udemy.com/course/complete-data-analyst-bootcamp-from-basics-to-advanced/
