course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
The Data Science Course: Complete Data Science Bootcamp 2026,1754098,365 Careers,"Data Science, Development",Data Science,All Levels,31.5 hours,4.6,160523,797488,"Rp169,000",2/2026,93,131,546,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/
"Data Analytics, Data Science, & Machine Learning - All in 1",6833239,Analytix AI,"Data Science, Data Analysis, Machine Learning, Business Analytics & Intelligence, Business",Data Science,All Levels,66 hours,4.6,4401,9582,"Rp159,000",2/2026,35,125,70,https://www.udemy.com/course/data-analytics-data-science-machine-learning-all-in-1/
"Complete Data Science,Machine Learning,DL,NLP Bootcamp",5993822,"Krish Naik, KRISHAI Technologies Private Limited","Data Science, Natural Language Processing (NLP), Machine Learning, MLOps, Other IT & Software",Data Science,All Levels,99 hours,4.5,24545,136423,"Rp169,000",7/2025,19,20,165,https://www.udemy.com/course/complete-machine-learning-nlp-bootcamp-mlops-deployment/
Data Science + Data Analytics Career Path: 100 Days Bootcamp,6532401,Shahriar's Analytical Academy,"Data Science, Machine Learning, Python, Deep Learning, Other IT & Software",Data Science,All Levels,48.5 hours,4.9,1591,6271,"Rp159,000",3/2026,26,85,46,https://www.udemy.com/course/data-science-career-path-100-days-of-data-science-bootcamp/
Python for Data Science and Machine Learning Bootcamp,903744,"Jose Portilla, Pierian Training","Python, Data Science, Machine Learning, Development",Data Science,All Levels,25 hours,4.6,158015,809792,"Rp169,000",5/2020,13,0,5,https://www.udemy.com/course/python-for-data-science-and-machine-learning-bootcamp/
100 Days of Code™: The Complete Python Pro Bootcamp,2776760,"Dr. Angela Yu, Developer and Lead Instructor","Python, Data Science, Flask, Web Scraping, Programming Languages",Data Science,All Levels,52 hours,4.7,419707,1764631,"Rp169,000",4/2026,233,23,167,https://www.udemy.com/course/100-days-of-code/
Data Science & AI Masters 2026 - From Python To Gen AI,6342521,"Dr. Satyajit Pattnaik, Satyajit Pattnaik","Artificial Intelligence (AI), Data Science, Natural Language Processing (NLP), Generative AI (GenAI), Industry",Data Science,All Levels,108 hours,4.5,2297,29178,"Rp159,000",3/2026,12,0,28,https://www.udemy.com/course/data-science-ai-masters-from-python-to-gen-ai/
Data Science and Machine Learning Fundamentals [2026],5160648,Henrik Johansson,"Machine Learning, Data Analysis, Artificial Intelligence (AI), Supervised Machine Learning, Unsupervised Machine Learning",Data Science,All Levels,58.5 hours,4.7,1475,6696,"Rp159,000",4/2026,0,0,86,https://www.udemy.com/course/data-science-and-machine-learning-fundamentals-one/
"Machine Learning A-Z: AI, Python & R + ChatGPT Prize [2026]",950390,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency ​","Machine Learning, R (programming language), Python, Data Science, Development",Data Science,All Levels,42.5 hours,4.5,203446,1186197,"Rp169,000",1/2026,40,5,0,https://www.udemy.com/course/machinelearning/
"Complete A.I. & Machine Learning, Data Science Bootcamp",2511476,"Andrei Neagoie, Daniel Bourke","Data Science, Machine Learning, Artificial Intelligence (AI), Python, Development",Data Science,All Levels,43.5 hours,4.6,30189,161009,"Rp169,000",2/2026,61,1,14,https://www.udemy.com/course/complete-machine-learning-and-data-science-zero-to-mastery/
Python Data Science: Data Prep & EDA with Python,5457418,"Maven Analytics • 1,500,000 Learners, Alice Zhao","Data Preprocessing, Data Science, Python, Exploratory Data Analysis, Development",Data Science,All Levels,8.5 hours,4.7,1969,11246,"Rp169,000",11/2025,3,0,2,https://www.udemy.com/course/data-science-in-python-data-prep-eda/
Python for Machine Learning & Data Science Masterclass,2769460,"Jose Portilla, Pierian Training","Python, Data Science, Machine Learning, Development",Data Science,All Levels,44 hours,4.7,18598,127597,"Rp159,000",12/2022,6,4,33,https://www.udemy.com/course/python-for-machine-learning-data-science-masterclass/
Complete Data Science & Machine Learning Program,6410639,Khaoula (Kayla) Ilaje,"Data Science, Machine Learning, Python, Statistical Modeling, Other IT & Software",Data Science,Intermediate,21 hours,4.5,2,4,"Rp149,000",2/2026,52,0,11,https://www.udemy.com/course/complete-data-science-machine-learning-program/
Data Science Data Visualization - Practice Questions 2026,7073159,Jitendra Suryavanshi,"IT Certifications, IT & Software",Data Science,All Levels,N/A,N/A,N/A,100,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/data-science-data-visualization-questions/
Data Science Data Engineering Basics-Practice Questions 2026,7073137,Jitendra Suryavanshi,"IT Certifications, IT & Software",Data Science,All Levels,N/A,N/A,N/A,100,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/data-science-data-engineering-basics-questions/
Data Science Data Cleaning - Practice Questions 2026,7073127,Jitendra Suryavanshi,"IT Certifications, IT & Software",Data Science,All Levels,N/A,N/A,N/A,100,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/data-science-data-cleaning-questions/
"Introduction to Big Data, Data Engineering, and Data Science",7084305,Ultracademy .,"Data Science, Data Analysis, Business Intelligence (BI), Data Engineering, Other IT & Software",Data Science,Beginner,4 hours,4.5,.,4,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/intro-to-bigdata-dengineering-dscience/
Data Science Applied Projects - Practice Questions 2026,7072947,Jitendra Suryavanshi,"IT Certifications, IT & Software",Data Science,All Levels,N/A,N/A,N/A,100,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/data-science-applied-projects-questions/
Data Science Interview Preparation & Practice Tests,7067179,Utkarsh Academy,"Data Science, Data Analysis, IT Certifications, IT & Software",Data Science,All Levels,N/A,5.0,1,1,"Rp169,000",3/2026,0,0,0,https://www.udemy.com/course/data-science-interview-preparation-practice-tests/
Data Science Big Data Tools - Practice Questions 2026,7072961,Jitendra Suryavanshi,"IT Certifications, IT & Software",Data Science,All Levels,N/A,N/A,N/A,100,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/data-science-big-data-tools-questions/
Data Science & Machine Learning(Theory+Projects)A-Z 90 HOURS,3582994,"AI Sciences, AI Sciences Team","Data Science, Deep Learning, Machine Learning, Reinforcement Learning, Development",Data Science,All Levels,94 hours,4.6,993,7645,"Rp159,000",12/2025,9,0,0,https://www.udemy.com/course/data-science-machine-learningtheoryprojectsa-z-90-hours/
Mathematics-Basics to Advanced for Data Science And GenAI,6106647,"Krish Naik, KRISHAI Technologies Private Limited","Data Science, Generative AI (GenAI), Development",Data Science,All Levels,23 hours,4.5,3823,27995,"Rp159,000",10/2024,1,0,55,https://www.udemy.com/course/mathematics-basics-to-advanced-for-data-science-and-ml/
Complete MLOps Bootcamp With 10+ End To End ML Projects,6185965,"Krish Naik, KRISHAI Technologies Private Limited","MLOps, Data Science, Development",Data Science,All Levels,51 hours,4.5,3875,35800,"Rp169,000",10/2024,0,0,39,https://www.udemy.com/course/complete-mlops-bootcamp-with-10-end-to-end-ml-projects/
Data Science : Complete Data Science & Machine Learning,1478886,"Jitesh Khurkhuriya, Python, Data Science & Machine Learning A-Z Team","Data Science, Machine Learning, Deep Learning, Statistics, Development",Data Science,All Levels,26 hours,4.6,3575,24385,"Rp159,000",3/2023,9,0,53,https://www.udemy.com/course/complete-data-science-and-machine-learning-using-python/
From Zero to Pro Data Science & AI Advanced Full Course,6354063,School of AI,"Data Science, Artificial Intelligence (AI), Development",Data Science,Beginner,48.5 hours,4.3,724,42211,"Rp149,000",2/2026,1,1,3,https://www.udemy.com/course/data-science-mastery-complete-data-science-bootcamp-2025/
