course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Relational Database Design Bootcamp,6655719,Jon Avis,"Database Design, Database Design & Development, Development",Database Design & Development,All Levels,3.5 hours,4.6,69,389,"Rp149,000",4/2026,1,0,13,https://www.udemy.com/course/relational-database-design-bootcamp/
Fundamentals of Database Engineering,2722880,Hussein Nasser,"Database Management Systems (DBMS), Database Design & Development, Development",Database Design & Development,Intermediate,30 hours,4.7,11790,115371,"Rp169,000",12/2025,14,0,80,https://www.udemy.com/course/database-engines-crash-course/
Basics of Database Design & Development,1586184,Creative Online School,"Database Design, Database Design & Development, Development",Database Design & Development,All Levels,3 hours,4.2,869,157516,"Rp149,000",10/2020,0,0,0,https://www.udemy.com/course/database-design-development/
MySQL Database Administration: Beginner SQL Database Design,2967048,"Maven Analytics • 1,500,000 Learners, John Pauler","Database Administration, Business Intelligence (BI), Database Design, MySQL, Database Design & Development",Database Design & Development,All Levels,7 hours,4.7,3477,16801,"Rp159,000",11/2025,4,0,2,https://www.udemy.com/course/mysql-dba-for-beginners/
SQL and PostgreSQL: The Complete Developer's Guide,3350536,Stephen Grider,"SQL, PostgreSQL, Database Design & Development, Development",Database Design & Development,Beginner,22 hours,4.7,12710,82682,"Rp169,000",2/2026,10,24,47,https://www.udemy.com/course/sql-and-postgresql/
Relational Database Design,299398,Ben Brumm,"Database Design, Database Management Systems (DBMS), Database Design & Development, Development",Database Design & Development,All Levels,1.5 hours,4.6,43015,109489,"Rp149,000",6/2020,0,0,0,https://www.udemy.com/course/relational-database-design/
Complete SQL and Databases Bootcamp,2851942,"Andrei Neagoie, Mo Binni","SQL, Database Management Systems (DBMS), Database Design, PostgreSQL, Database Design & Development",Database Design & Development,All Levels,24 hours,4.7,6887,41686,"Rp159,000",8/2024,59,1,4,https://www.udemy.com/course/complete-sql-databases-bootcamp-zero-to-mastery/
Mastering Data Modeling and Database Design,6117841,Abhinav Rana,"Data Modeling, Other IT & Software, IT & Software",Database Design & Development,All Levels,5.5 hours,4.4,226,2288,"Rp149,000",12/2025,3,0,11,https://www.udemy.com/course/master-data-modelling-and-database-development/
SQL for Beginners: Learn SQL using MySQL and Database Design,1419182,"Tim Buchalka's Learn Programming Academy, Tim Buchalka, Jean-Paul Roberts","SQL, MySQL, Database Design, Database Design & Development, Development",Database Design & Development,Beginner,8.5 hours,4.6,63493,195796,"Rp149,000",4/2025,3,0,13,https://www.udemy.com/course/sql-for-beginners-course/
SQL & Database Design A-Z™: Learn MS SQL Server + PostgreSQL,1036342,"Kirill Eremenko, Ilya Eremenko, SuperDataScience Team, Ligency ​","Database Design, PostgreSQL, Data Science, SQL, Development",Database Design & Development,All Levels,12.5 hours,4.7,5414,31280,"Rp159,000",9/2025,6,0,0,https://www.udemy.com/course/sqldatabases/
Learn Complete Database Design With MySQL Database Project.,1863210,Sanjay Sathe,"Database Design, MySQL, Data Modeling, Database Design & Development, Development",Database Design & Development,All Levels,5 hours,4.1,44,218,"Rp149,000",9/2018,0,0,0,https://www.udemy.com/course/learn-complete-database-design-with-mysql-database-project/
Database Design for Relational Databases using SQL Server,2793146,Daniel Tait,"Database Design, Microsoft SQL, SQL Server, Database Design & Development, Development",Database Design & Development,All Levels,5.5 hours,4.5,211,917,"Rp149,000",9/2021,0,0,15,https://www.udemy.com/course/database-design-for-relational-databases-using-sql-server/
Database Design & SQL Development for Beginners,5414498,Skill Tree,"Database Design, Database Design & Development, Development",Database Design & Development,Beginner,5.5 hours,3.5,4,1008,"Rp149,000",3/2026,32,0,1,https://www.udemy.com/course/database-design-development-for-beginners/
Complete Microsoft SQL Server Database Design Masterclass,2254351,"Trevoir Williams, Learn IT University, Andrii Piatakha","SQL Server, Database Developer Tools, Database Administration, SQL, Database Design & Development",Database Design & Development,Beginner,8.5 hours,4.3,2964,151646,"Rp159,000",11/2025,3,0,2,https://www.udemy.com/course/microsoft-sql-server-2017-for-everyone/
"PostgreSQL Bootcamp : Go From Beginner to Advanced, 60+hours",3499600,Adnan Waheed,"PostgreSQL, Database Design, Database Programming, SQL, Database Design & Development",Database Design & Development,All Levels,67 hours,4.5,5222,39639,"Rp169,000",10/2023,19,0,31,https://www.udemy.com/course/postgresqlmasterclass/
Introduction to Relational Database and SQL,2716414,Jun Shan,"SQL, Database Design & Development, Development",Database Design & Development,Beginner,8.5 hours,4.5,521,6925,"Rp149,000",4/2020,5,0,35,https://www.udemy.com/course/introduction-to-relational-database-and-sql/
Complete Microsoft SQL Server Database Administration Course,3832968,"Imran Afzal, Abbas Mehmood","SQL, Database Administration, Database Management Systems (DBMS), Microsoft SQL, Other IT & Software",Database Design & Development,All Levels,32 hours,4.6,10761,68442,"Rp169,000",3/2026,0,0,131,https://www.udemy.com/course/complete-microsoft-sql-server-database-administration-course/
SQL for Data Analysis: Beginner MySQL Business Intelligence,2422318,"Maven Analytics • 1,500,000 Learners, John Pauler","MySQL, Business Analysis, SQL, Business Intelligence (BI), Database Design & Development",Database Design & Development,All Levels,4.5 hours,4.6,10453,57540,"Rp149,000",11/2025,4,0,7,https://www.udemy.com/course/mysql-for-data-analysis/
SQL for Data Analysis: Advanced SQL Querying Techniques,6299761,"Maven Analytics • 1,500,000 Learners, Alice Zhao","SQL, Data Analysis, Business Intelligence (BI), Business Analytics & Intelligence, Business",Database Design & Development,All Levels,8.5 hours,4.7,6249,29926,"Rp159,000",11/2025,7,0,2,https://www.udemy.com/course/sql-advanced-queries/
Database Design and MySQL,64404,Caleb Curry,"Database Design, User Experience (UX) Design, Database Management Systems (DBMS), MySQL, Database Design & Development",Database Design & Development,All Levels,10 hours,4.6,1669,63172,"Rp149,000",3/2015,0,0,0,https://www.udemy.com/course/calebthevideomaker2-database-and-mysql-classes/
"MySQL, PostgreSQL and MongoDB Database Design Masterclass",6214927,"George Steve, Emenwa Global, Juliet Rona, Chris Mendes","Database Management Systems (DBMS), MySQL, MongoDB, PostgreSQL, Database Design & Development",Database Design & Development,Beginner,12.5 hours,4.5,78,4629,"Rp149,000",4/2026,2,0,35,https://www.udemy.com/course/mysql-postgresql-and-mongodb-database-design-masterclass/
SQL Database Administration: Advanced MySQL Workbench,3784430,"Maven Analytics • 1,500,000 Learners, John Pauler","Database Administration, Business Intelligence (BI), Database Developer Tools, MySQL, Database Design & Development",Database Design & Development,All Levels,8 hours,4.6,874,6589,"Rp159,000",11/2025,3,0,6,https://www.udemy.com/course/advanced-mysql-database-administration-dba/
Complete Database Bootcamp for Beginners: 6 Courses in 1,1503118,Creative Online School,"MySQL, Database Design & Development, Development",Database Design & Development,All Levels,5 hours,4.3,2142,251163,"Rp149,000",8/2025,5,0,5,https://www.udemy.com/course/database-course/
SQL Mastery for Data Analytics and Business Intelligence,6987295,Baraa Khatib Salkini,"SQL, Data Analysis, Business Intelligence (BI), Data Science, Business Analytics & Intelligence",Database Design & Development,All Levels,17 hours,4.8,228,946,"Rp149,000",2/2026,2,0,4,https://www.udemy.com/course/sql-mastery-for-data-analytics-and-business-intelligence/
The Complete SQL Bootcamp: Go from Zero to Hero,762616,"Jose Portilla, Pierian Training","SQL, Business Analytics & Intelligence, Business",Database Design & Development,All Levels,9 hours,4.7,252640,1004977,"Rp169,000",12/2022,14,0,13,https://www.udemy.com/course/the-complete-sql-bootcamp/
Database Design,268632,Caleb Curry,"Database Design, User Experience (UX) Design, Database Management Systems (DBMS), Database Design & Development, Development",Database Design & Development,All Levels,8.5 hours,4.0,3488,93652,"Rp149,000",4/2015,1,0,0,https://www.udemy.com/course/database-design/
Relational Database Design: A Data Modeling Workshop,5426732,Timothy Hange,"Database Design, Data Modeling, Other IT & Software, IT & Software",Database Design & Development,Beginner,2 hours,4.6,84,196,"Rp149,000",8/2023,0,0,0,https://www.udemy.com/course/relational-database-design-o/
Database Management Systems (RDBMS) & Microsoft Fabric SQL,4427862,"Atchyut Kumar, Edufulness EFN","Database Management Systems (DBMS), Engineering, Teaching & Academics",Database Design & Development,All Levels,25 hours,4.3,4753,16517,"Rp149,000",11/2025,0,0,6,https://www.udemy.com/course/relational-database-management-systemrdbms-complete-pack/
SQL test Mastery: 6 Real-World Practice Tests for Developers,6716071,Temotec Learning Academy,"SQL, Oracle SQL, SQL Server, Microsoft SQL, Other IT & Software",Database Design & Development,All Levels,N/A,5.0,1,203,"Rp149,000",7/2025,0,0,0,https://www.udemy.com/course/sql-test-mastery-6-real-world-practice-tests-for-developers/
Build Real World MYSQL Database Design Project,4897800,The Machine Learning,"Database Management Systems (DBMS), Database Programming, MySQL, SQL, Database Design & Development",Database Design & Development,All Levels,6.5 hours,3.8,65,2019,"Rp149,000",4/2024,6,0,6,https://www.udemy.com/course/build-real-world-mysql-database-design-projects/
Mastering Database Management Systems From Basics to advance,6763147,Eman shafique,"Database Management Systems (DBMS), Other IT & Software, IT & Software",Database Design & Development,Beginner,1 hour,4.7,44,130,"Rp149,000",8/2025,0,0,0,https://www.udemy.com/course/mastering-database-management-systems-from-basics-to-advance/
Data Modeling and Relational Database Design using ERwin,326806,Haris Kilikotu,"Data Modeling, Other IT & Software, IT & Software",Database Design & Development,All Levels,4 hours,4.5,8129,34159,"Rp149,000",2/2025,4,0,8,https://www.udemy.com/course/datamodeling/
Introduction to SQL: Database Management for Beginners,5427106,Simon Sez IT,"SQL, Database Management Systems (DBMS), Database Design & Development, Development",Database Design & Development,Beginner,3 hours,4.6,2,10,"Rp149,000",7/2023,2,0,2,https://www.udemy.com/course/introduction-to-sql-database-management-for-beginners/
DBMS and MySQL Complete Course Beginner to Advance,5261126,Mohammad Irshad kasana,"Database Management Systems (DBMS), SQL, MySQL, Database Design & Development, Development",Database Design & Development,All Levels,5.5 hours,4.2,207,1679,"Rp149,000",2/2026,1,2,1,https://www.udemy.com/course/dbms-and-mysql-for-big-data-and-data-science/
Relational Databases & SQL: Complete Guide for Developers,4309902,"Andrii Piatakha, Learn IT University","SQL, Database Programming, MySQL, PostgreSQL, Database Design & Development",Database Design & Development,All Levels,14 hours,4.3,519,52402,"Rp149,000",11/2025,15,0,0,https://www.udemy.com/course/databases-learnit/
