course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Day Trading Masterclass: Beginner To Advanced Day Trading,6822951,Skillet Academy,"Day Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,15.5 hours,4.6,541,4132,"Rp159,000",1/2026,5,0,23,https://www.udemy.com/course/the-day-trading-masterclass/
The Complete Foundation Stock Trading Course,1288044,"Mohsen Hassan, bloom team","Stock Trading, Financial Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,9.5 hours,4.6,63849,285295,"Rp169,000",5/2024,1,0,32,https://www.udemy.com/course/foundation-course/
Futures Day Trading Bootcamp: Beginner to Super Trader,6842459,The Technological Trader,"Futures Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,9 hours,4.5,78,425,"Rp149,000",2/2026,3,0,7,https://www.udemy.com/course/the-complete-day-trading-bootcamp-beginner-to-super-trader/
Day Trading For Dummies: 1-Hour Beginner Course,4378948,Travis Rose (Stock Market Day Trading & Investing Professional),"Day Trading, Stock Trading, Technical Analysis (finance), Penny Stocks, Investing & Trading",Day Trading,Beginner,1 hour,4.7,1328,13620,"Rp149,000",11/2025,2,0,0,https://www.udemy.com/course/day-trading-for-dummies-1-hour-beginner-course/
Day Trading Strategy that can WIN even when you're Wrong,5102318,Reid FX,"Day Trading, Financial Trading, Price Action, Forex Trading, Investing & Trading",Day Trading,Expert,8.5 hours,4.6,818,3619,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/day-trading-strategy-that-can-win-even-when-youre-wrong/
Stock Market Trading: The Complete Technical Analysis Course,3774922,"Steve Ballinger, MBA","Technical Analysis (finance), Day Trading, Stock Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,12.5 hours,4.7,5199,38597,"Rp159,000",4/2026,1,0,0,https://www.udemy.com/course/stock-market-trading-investing-complete-technical-analysis-course/
The Complete Day Trading Course (Updated 2026),1989694,Wealthy Education,"Day Trading, Stock Trading, Financial Trading, Technical Analysis (finance), Investing & Trading",Day Trading,All Levels,12 hours,4.1,3735,21080,"Rp199,000",3/2026,3,0,11,https://www.udemy.com/course/the-complete-day-trading-course/
"The complete day trading course: Key level, Market structure",4852056,Jayce PHAM | TOP England funds Trader | TOP FTMO leaderboard trader,"Day Trading, Stock Trading, Cryptocurrency, Forex Trading, Investing & Trading",Day Trading,Intermediate,8 hours,4.7,1304,17269,"Rp169,000",2/2026,15,0,3,https://www.udemy.com/course/complete-day-trading-with-key-level-and-smart-money-concept/
Day Trading and Swing Trading Strategies For Stocks,2076630,"Mohsen Hassan, bloom team","Day Trading, Swing Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,3.5 hours,4.7,7162,54424,"Rp369,000",8/2025,1,0,4,https://www.udemy.com/course/day-trading-swing-trading-strategies-stocks/
The Complete Crypto Day Trading Course (Beginner to Elite),3274496,Sats Income,"Technical Analysis (finance), Investing & Trading, Finance & Accounting",Day Trading,All Levels,21.5 hours,4.6,1361,7887,"Rp169,000",3/2026,45,0,31,https://www.udemy.com/course/trading-with-technical-analysis-mastery-2020/
Complete Day Trading : Stock Trading With Technical Analysis,1691546,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis","Price Action, Day Trading, Stock Trading, Options Trading, Investing & Trading",Day Trading,All Levels,7 hours,4.4,5556,46798,"Rp149,000",3/2026,2,0,0,https://www.udemy.com/course/day-trading-strategies-day-trading-with-technical-analysis/
Futures Trading Masterclass: Futures Trading For Beginners,6767241,Skillet Academy,"Futures Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,10 hours,4.6,251,2277,"Rp149,000",1/2026,9,0,21,https://www.udemy.com/course/futures-trading-masterclass/
Day Trading for Beginners : Price Action and SMC Strategies,6992197,Anushka Madusanka,"Day Trading, Forex Trading, Cryptocurrency, Stock Trading, Investing & Trading",Day Trading,Beginner,4 hours,5.0,1,42,"Rp149,000",4/2026,2,0,0,https://www.udemy.com/course/day-trading-for-beginners-price-action-and-smc-strategies/
The 10-Day Prop Firm Blueprint: A Mechanical Trading Model,7074785,Prometheus Trader,"Forex Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,7.5 hours,4.7,N/A,N/A,"Rp149,000",4/2026,0,0,5,https://www.udemy.com/course/the-ten-day-prop-firm-blueprint/
Stock Trading Ninja: From Zero to Profitable Master,6576773,"Sergey Kasimov, MindQuest Academy","Stock Trading, Penny Stocks, Stock Options, Investing & Trading, Finance & Accounting",Day Trading,All Levels,2 hours,4.6,N/A,113,"Rp149,000",2/2026,25,0,1,https://www.udemy.com/course/ninjatrading/
Day Trading & Momentum Strategies for the Stock Market,1345142,Indian Insight | Top 10 PAC Trading Championship,"Day Trading, Stock Trading, Options Trading, Finance, Finance & Accounting",Day Trading,All Levels,3 hours,4.7,569,3348,"Rp159,000",2/2026,1,0,1,https://www.udemy.com/course/day-trading-strategies-for-the-stock-market/
Day Trading Mastery: Proven Strategies for active investing,6099003,"Oli Hochberg , e-trading academy","Financial Trading, Swing Trading, Stock Trading, Forex Trading, Investing & Trading",Day Trading,All Levels,16.5 hours,4.6,198,1814,"Rp159,000",10/2025,0,0,7,https://www.udemy.com/course/day-trading-and-learn-how-to-invest-like-a-pro/
The complete Technical Analysis : Candlestick Secret Trading,3863174,Sandip Jha,"Candlestick Trading, Stock Trading, Technical Analysis (finance), Forex Trading, Investing & Trading",Day Trading,All Levels,14.5 hours,4.8,411,2114,"Rp149,000",8/2025,4,0,0,https://www.udemy.com/course/the-complete-technical-analysis-candlestick-secret-trading/
"Swing Trading Mastery: Stocks, Forex and Technical Analysis",6928611,Skillet Academy,"Swing Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,10 hours,4.5,66,1258,"Rp149,000",12/2025,3,0,14,https://www.udemy.com/course/swing-trading-mastery/
Day Trading for Beginners 2026,5154004,Cloud Trader Academy,"Day Trading, Investing & Trading, Finance & Accounting",Day Trading,Beginner,4.5 hours,4.4,170,614,"Rp149,000",1/2026,10,0,0,https://www.udemy.com/course/day-trading-is-easy/
Live Stock Trading Course: Beginner to Pro,3124166,"Mohsen Hassan, bloom team","Stock Trading, Day Trading, Swing Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,7.5 hours,4.8,2729,26738,"Rp149,000",5/2024,1,0,2,https://www.udemy.com/course/live-stock-trading-course-beginner-to-pro/
Advanced Stock Trading Course + Strategies,1587644,"Mohsen Hassan, bloom team","Stock Trading, Financial Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,9.5 hours,4.4,16241,106118,"Rp379,000",11/2024,2,0,35,https://www.udemy.com/course/advanced-course-plus-strategies/
Day Trading Masterclass: Maximum Profit Formula (2026),2961922,Wealthy Education,"Day Trading, Stock Trading, Financial Trading, Technical Analysis (finance), Investing & Trading",Day Trading,All Levels,11 hours,4.6,308,3394,"Rp149,000",3/2026,2,0,5,https://www.udemy.com/course/day-trading-masterclass/
Technical Analysis - Price Action Masterclass,4511272,Michael Leonor,"Technical Analysis (finance), Financial Trading, Price Action, Investing & Trading, Finance & Accounting",Day Trading,All Levels,5 hours,4.6,464,1810,"Rp149,000",2/2025,8,0,1,https://www.udemy.com/course/technical-analysis-mastering-price-action/
Technical Analysis MasterClass:Trading By Technical Analysis,1255136,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis","Technical Analysis (finance), Financial Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,8 hours,4.4,25238,139057,"Rp149,000",3/2026,5,0,7,https://www.udemy.com/course/technical_analysis/
Advanced Forex Trading - Day Trading Strategy & Live Trades,6561231,Federico Sellitti,"Day Trading, Forex Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,7 hours,4.7,193,868,"Rp169,000",9/2025,7,0,26,https://www.udemy.com/course/advanced-forex-trading-day-trading-strategy-live-trades/
"Algorithmic Trading A-Z with Python, Machine Learning & AWS",3395102,Alexander Hagmann,"Python, Day Trading, Machine Learning, Algorithmic Trading, Investing & Trading",Day Trading,All Levels,44.5 hours,4.5,4257,47636,"Rp159,000",12/2025,59,42,45,https://www.udemy.com/course/algorithmic-trading-with-python-and-machine-learning/
Forex Trading: Your Complete Guide to Get Started Like a Pro,1266306,Federico Sellitti,"Forex Trading, Finance Fundamentals, Financial Analysis, Financial Trading, Investing & Trading",Day Trading,Beginner,10.5 hours,4.8,3096,12160,"Rp149,000",9/2025,3,0,13,https://www.udemy.com/course/forex-trading-your-complete-guide-to-get-started-like-a-pro/
Market Structure with Top Price Action Institutional Secrets,6639787,Next-Gen Trading & Tech,"Price Action, Financial Trading, Day Trading, Stock Trading, Investing & Trading",Day Trading,All Levels,6 hours,4.4,80,1788,"Rp149,000",9/2025,2,0,13,https://www.udemy.com/course/intraday-trading-with-price-action-institutional-secrets/
Powerful Forex Day Trading Strategy: 90% Winrate!,6199747,MellaFX Trading,"Day Trading, Forex Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,3 hours,4.5,186,6072,"Rp149,000",11/2025,2,0,1,https://www.udemy.com/course/powerful-forex-day-trading-strategy/
Scalp Trading Masterclass: Triple Day Trading Profits (2026),6172117,Wealthy Education,"Scalp Trading, Day Trading, Financial Trading, Price Action, Investing & Trading",Day Trading,All Levels,7 hours,4.3,149,1440,"Rp149,000",3/2026,2,0,0,https://www.udemy.com/course/scalp-trading-masterclass/
Day Trading 101: A Beginner's Guide to Day Trading Stocks,2365720,Travis Rose (Stock Market Day Trading & Investing Professional),"Day Trading, Penny Stocks, Stock Trading, Technical Analysis (finance), Investing & Trading",Day Trading,Beginner,2.5 hours,4.5,1467,5295,"Rp149,000",11/2025,4,0,1,https://www.udemy.com/course/day-trading-a-beginners-guide-to-trading-stocks/
Swing Trading for Beginners 2026,6504711,Cloud Trader Academy,"Swing Trading, Stock Trading, Technical Analysis (finance), Investing & Trading, Finance & Accounting",Day Trading,All Levels,3.5 hours,4.6,61,290,"Rp149,000",1/2026,7,0,0,https://www.udemy.com/course/stock-market-swing-trading-for-beginners/
Fibonacci Technical Analysis Skill for Forex & Stock Trading,2212072,"Jyoti Bansal (NCFM,NISM Certified Technical Analyst & Investment Adviser ), Jyoti Bansal Analysis","Fibonacci Trading, Swing Trading, Stock Trading, Technical Analysis (finance), Investing & Trading",Day Trading,All Levels,3 hours,4.7,1578,14105,"Rp359,000",3/2026,2,0,0,https://www.udemy.com/course/stock-forex-trading-with-fibonacci-and-technical-analysis/
Forex Trading Masterclass: Forex Fundamentals To Advanced,6742259,Skillet Academy,"Forex Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,11 hours,4.7,260,2142,"Rp169,000",3/2026,5,0,17,https://www.udemy.com/course/forex-trading-fundamentals-to-advanced/
Advanced Day Trading Mastery II: Getting organized,6651493,"Oli Hochberg , e-trading academy","Stock Trading, Stock Options, Day Trading, Exchange-Traded Funds (ETFs), Investing & Trading",Day Trading,All Levels,12 hours,4.8,38,151,"Rp149,000",1/2026,0,0,2,https://www.udemy.com/course/advanced-day-trading-mastery-ii-getting-organized/
Day Trading Ninja: 12 Hours DIY Day Trading Strategy,1546132,Saad T. Hameed (STH) • 0.9+ Million Enrollments Worldwide,"Day Trading, Financial Trading, Stock Trading, Investing & Trading, Finance & Accounting",Day Trading,All Levels,12 hours,4.6,712,38588,"Rp149,000",4/2026,3,0,0,https://www.udemy.com/course/daytrading/
"Forex Day Trading Strategy - Simple, Mechanical & Profitable",6171095,Daniel Tranter,"Forex Trading, Day Trading, Technical Analysis (finance), Investing & Trading, Finance & Accounting",Day Trading,Intermediate,3 hours,4.4,55,256,"Rp149,000",10/2025,0,0,1,https://www.udemy.com/course/forex-trading-strategy-simple-mechanical-profitable/
