course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
"Deep Learning A-Z 2026: Neural Networks, AI & ChatGPT Prize",1151632,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency ​","Neural Networks, Deep Learning, Data Science, Development",Deep Learning,All Levels,22 hours,4.6,49424,404985,"Rp169,000",1/2026,35,0,0,https://www.udemy.com/course/deeplearning/
A deep understanding of deep learning (with Python intro),4221858,Mike X Cohen,"Deep Learning, Data Science, Development",Deep Learning,Beginner,57.5 hours,4.8,6270,50844,"Rp169,000",3/2026,3,0,1,https://www.udemy.com/course/deeplearning_x/
PyTorch for Deep Learning Bootcamp,4734870,"Andrei Neagoie, Daniel Bourke","PyTorch, Artificial Intelligence (AI), Deep Learning, Machine Learning, Data Science",Deep Learning,Beginner,52 hours,4.7,5965,43201,"Rp169,000",2/2026,7,0,0,https://www.udemy.com/course/pytorch-for-deep-learning/
"Complete Data Science,Machine Learning,DL,NLP Bootcamp",5993822,"Krish Naik, KRISHAI Technologies Private Limited","Data Science, Natural Language Processing (NLP), Machine Learning, MLOps, Other IT & Software",Deep Learning,All Levels,99 hours,4.5,24545,136423,"Rp169,000",7/2025,19,20,165,https://www.udemy.com/course/complete-machine-learning-nlp-bootcamp-mlops-deployment/
[2026] Tensorflow 2: Deep Learning & Artificial Intelligence,2430492,"Lazy Programmer Inc., Lazy Programmer Team","Deep Learning, TensorFlow, Machine Learning, Data Science, Development",Deep Learning,All Levels,26 hours,4.8,14148,64984,"Rp159,000",3/2026,0,0,0,https://www.udemy.com/course/deep-learning-tensorflow-2/
TensorFlow for Deep Learning Bootcamp,3693164,"Andrei Neagoie, Daniel Bourke","TensorFlow, Deep Learning, Machine Learning, Data Science, Development",Deep Learning,All Levels,62.5 hours,4.6,12522,87367,"Rp159,000",2/2026,41,1,5,https://www.udemy.com/course/tensorflow-developer-certificate-machine-learning-zero-to-mastery/
"The Complete Neural Networks Bootcamp: Theory, Applications",1795952,Fawaz Sammani,"Deep Learning, Python, Neural Networks, PyTorch, Data Science",Deep Learning,All Levels,43.5 hours,4.7,3007,26066,"Rp169,000",11/2021,15,0,2,https://www.udemy.com/course/the-complete-neural-networks-bootcamp-theory-applications/
Data Science: Deep Learning and Neural Networks in Python,713104,"Lazy Programmer Inc., Lazy Programmer Team","Python, Machine Learning, Data Science, Deep Learning, Development",Deep Learning,Intermediate,12 hours,4.9,10276,62822,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/data-science-deep-learning-in-python/
"Machine Learning A-Z: AI, Python & R + ChatGPT Prize [2026]",950390,"Kirill Eremenko, Hadelin de Ponteves, SuperDataScience Team, Ligency ​","Machine Learning, R (programming language), Python, Data Science, Development",Deep Learning,All Levels,42.5 hours,4.5,203446,1186197,"Rp169,000",1/2026,40,5,0,https://www.udemy.com/course/machinelearning/
Deep Learning for Beginners: Core Concepts and PyTorch,4127896,"Seungchan Lee, Nami Kim, DeepIntuitions AI","Deep Learning, Artificial Intelligence (AI), Data Science, Machine Learning, Other IT & Software",Deep Learning,All Levels,9.5 hours,4.7,296,2038,"Rp149,000",7/2024,1,0,40,https://www.udemy.com/course/fundamentals-deep-learning-concept-pytorch/
The Data Science Course: Complete Data Science Bootcamp 2026,1754098,365 Careers,"Data Science, Development",Deep Learning,All Levels,31.5 hours,4.6,160523,797488,"Rp169,000",2/2026,93,131,546,https://www.udemy.com/course/the-data-science-course-complete-data-science-bootcamp/
Practical Deep Learning: Master PyTorch in 15 Days,6148407,Jannis Seemann,"Deep Learning, Artificial Intelligence (AI), Data Science, Development",Deep Learning,Beginner,16.5 hours,4.6,578,4442,"Rp149,000",8/2025,8,0,5,https://www.udemy.com/course/deep-learning-practical/
Certification in Deep Learning AI,7034027,Human and Emotion: CHRMI,"Deep Learning, Other IT & Software, IT & Software",Deep Learning,Expert,15 hours,4.8,N/A,1008,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/certification-in-deep-learning-ai/
College-Level Reinforcement Learning : A Comprehensive Dive!,7061895,"Ahmed Fathy, MSc","Reinforcement Learning, Deep Reinforcement Learning, Large Language Models (LLM), Data Science, Development",Deep Learning,All Levels,29 hours,4.8,5,48,"Rp149,000",2/2026,2,0,0,https://www.udemy.com/course/college-level-reinforcement-learning-a-comprehensive-dive/
Cutting-Edge AI: Deep Reinforcement Learning in PyTorch (v2),7013849,"Lazy Programmer Team, Lazy Programmer Inc.","Reinforcement Learning, Artificial Intelligence (AI), Machine Learning, Deep Learning, Data Science",Deep Learning,Intermediate,13 hours,4.2,19,82,"Rp699,000",2/2026,0,0,0,https://www.udemy.com/course/deep-reinforcement-learning-ddpg-td3-in-pytorch/
AI Deep Learning Fundamentals - Practice Questions 2026,7038571,Jitendra Suryavanshi,"IT Certifications, IT & Software",Deep Learning,All Levels,N/A,N/A,N/A,200,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/ai-deep-learning-fundamentals-questions/
Data Science Deep Learning - Practice Questions 2026,7073171,Jitendra Suryavanshi,"IT Certifications, IT & Software",Deep Learning,All Levels,N/A,N/A,N/A,100,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/data-science-deep-learning-questions/
Deep Learning Engineer: Practice Tests,7131623,Utkarsh Academy,"Deep Learning, IT Certifications, IT & Software",Deep Learning,All Levels,N/A,4.8,N/A,N/A,"Rp149,000",N/A,0,0,0,https://www.udemy.com/course/deep-learning-engineer-practice-tests/
Deep Learning: Advanced AI Architectures Practice Tests-2026,7120877,"Pratik Barai, Rahul Udgata","Deep Learning, Other IT & Software, IT & Software",Deep Learning,All Levels,N/A,4.8,N/A,100,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/deep-learning-advanced-ai-architectures-practice-tests-2026/
Fundamentals of GeoAI: Deep Learning for Geospatial Analysis,7076793,Milan Janosov,"GIS, Machine Learning, Remote Sensing, Deep Learning, Other IT & Software",Deep Learning,Intermediate,3.5 hours,4.6,11,103,"Rp149,000",3/2026,2,0,12,https://www.udemy.com/course/fundamentals-of-geoai-deep-learning-for-geospatial-analysis/
