course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Graphic Design Masterclass - Learn GREAT Design,1643044,Lindsay Marsh,"Graphic Design, Logo Design, Adobe Illustrator, Adobe Photoshop, Graphic Design & Illustration",Design,Beginner,31.5 hours,4.6,72894,295363,"Rp169,000",11/2025,1,0,56,https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/
The Complete Graphic Design Theory for Beginners Course,1864390,"Lindsay Marsh, Jeremy Deighan - 300,000+ Students","Graphic Design, Color Theory, Typography, Design Theory, Graphic Design & Illustration",Design,Beginner,10 hours,4.6,21775,92787,"Rp359,000",4/2023,1,0,14,https://www.udemy.com/course/graphic-design-theory-for-beginners-course/
Figma UI UX Design Essentials,4359576,Daniel Walter Scott,"User Experience (UX) Design, Figma, User Interface Design, User Experience Design, Design",Design,All Levels,9.5 hours,4.7,46353,192938,"Rp169,000",8/2025,1,0,1,https://www.udemy.com/course/figma-ux-ui-design-user-experience-tutorial-course/
DESIGN RULES: Principles + Practices for Great UI Design,1595266,Joe Natoli,"User Interface Design, GUI Programming, Visual Design, User Experience (UX) Design, Web Design",Design,All Levels,5 hours,4.7,16650,64980,"Rp159,000",4/2025,0,0,0,https://www.udemy.com/course/design-rules/
Complete Web Design: from Figma to Webflow to Freelancing,2094300,Vako Shvili,"Web Design, Webflow, Design",Design,All Levels,21 hours,4.7,22276,101907,"Rp169,000",4/2026,22,0,9,https://www.udemy.com/course/freelance-web-design-from-design-to-development-to-making-money/
Canva Master Course 2026 | Design Smarter with Ronny & Diana,1626712,Ronny Hermosa,"Canva, Graphic Design, Business Branding",Design,All Levels,34.5 hours,4.6,15817,86654,"Rp169,000",2/2026,12,0,0,https://www.udemy.com/course/canva-master-course-graphic-design-for-beginners/
"Complete Web & Mobile Designer: UI/UX, Figma, +more",3227583,"Andrei Neagoie, Daniel Schifano","Mobile App Design, User Experience (UX) Design, Web Design, User Interface Design, Design",Design,All Levels,25 hours,4.5,37956,179088,"Rp169,000",2/2026,57,1,15,https://www.udemy.com/course/complete-web-designer-mobile-designer-zero-to-mastery/
The Branding Masterclass The Entire Brand Design Process,3543948,Lindsay Marsh,"Graphic Design, Adobe Illustrator, Adobe Photoshop, Logo Design, Graphic Design & Illustration",Design,Intermediate,8.5 hours,4.7,5518,30986,"Rp159,000",4/2023,0,0,9,https://www.udemy.com/course/the-branding-masterclass-the-entire-brand-design-process/
"Graphic Design Mastery- AI, Photoshop, Illustrator, Indesign",1622484,Khalil Ibrahim,"Graphic Design, Adobe Illustrator, Adobe Photoshop, Adobe InDesign, Design Tools",Design,Beginner,38 hours,4.5,5382,109753,"Rp169,000",11/2025,2,0,46,https://www.udemy.com/course/illustrator-cc-2018-for-beginners-basics-tricks/
Figma UI UX Design Advanced,5455710,Daniel Walter Scott,"Figma, User Experience (UX) Design, User Experience Design, Design",Design,Intermediate,9 hours,4.7,9343,55654,"Rp169,000",11/2025,0,0,1,https://www.udemy.com/course/figma-ui-ux-design-advanced-tutorial/
