course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Master Design Thinking: Crash Course + Toolbox + AI Tools,3713134,"Julia Lettinger, 1001Skills by Responsive Strategy, Videokurs Manufaktur","Design Thinking, Business Strategy, Business",Design Tools,All Levels,8.5 hours,4.5,5564,33806,"Rp149,000",11/2025,17,0,86,https://www.udemy.com/course/design-thinking-crash-course-get-your-certificate/
"Complete Web & Mobile Designer: UI/UX, Figma, +more",3227583,"Andrei Neagoie, Daniel Schifano","Mobile App Design, User Experience (UX) Design, Web Design, User Interface Design, Design",Design Tools,All Levels,25 hours,4.5,37956,179088,"Rp169,000",2/2026,57,1,15,https://www.udemy.com/course/complete-web-designer-mobile-designer-zero-to-mastery/
Figma UI UX Design Essentials,4359576,Daniel Walter Scott,"User Experience (UX) Design, Figma, User Interface Design, User Experience Design, Design",Design Tools,All Levels,9.5 hours,4.7,46353,192938,"Rp169,000",8/2025,1,0,1,https://www.udemy.com/course/figma-ux-ui-design-user-experience-tutorial-course/
Logo Design in Adobe Illustrator: 10 Graphic Design Tools,18840,"Tony Ross, Phil Ebiner, Video School","Logo Design, Adobe Photoshop, Adobe Illustrator, Graphic Design, Graphic Design & Illustration",Design Tools,All Levels,5 hours,4.5,120,1565,"Rp159,000",1/2025,1,0,2,https://www.udemy.com/course/logo-design-for-beginners-in-adobe-illustrator/
AI-Powered Design,6840805,"Anton Voroniuk, Anton Voroniuk Support","Figma, Canva, Adobe Photoshop, Adobe Firefly, Design Tools",Design Tools,All Levels,7 hours,4.6,219,7905,"Rp149,000",3/2026,3,0,0,https://www.udemy.com/course/ai-powered-design/
Service Design Masterclass - Key fundamentals & techniques,4702240,Thibault Dubois,"Service Design, User Experience (UX) Design, User Experience Design, Design",Design Tools,All Levels,6.5 hours,4.4,467,2437,"Rp149,000",2/2024,4,0,16,https://www.udemy.com/course/service-design-fundamentals-tools/
Graphic Design Masterclass - Learn GREAT Design,1643044,Lindsay Marsh,"Graphic Design, Logo Design, Adobe Illustrator, Adobe Photoshop, Graphic Design & Illustration",Design Tools,Beginner,31.5 hours,4.6,72894,295363,"Rp169,000",11/2025,1,0,56,https://www.udemy.com/course/graphic-design-masterclass-everything-you-need-to-know/
"Design Thinking Toolbox 2.0 | 50+ Methods, 25+ Templates +AI",5003780,"Julia Lettinger, 1001Skills by Responsive Strategy, Videokurs Manufaktur","Design Thinking, Innovation, Product Management, Business Strategy, Business",Design Tools,Intermediate,7 hours,4.5,919,6772,"Rp149,000",11/2025,15,0,67,https://www.udemy.com/course/design-thinking-tool-box-50-methods-25-templates/
SOLIDWORKS Mastery:500 Examples| 500 Q&A|20 Project| 10 Test,5954910,"Roy Academy, SNS Roy","SOLIDWORKS, Certified SOLIDWORKS Associate (CSWA), Certified SOLIDWORKS Professional (CSWP), CAD Software, Design Tools",Design Tools,All Levels,76.5 hours,4.6,823,4188,"Rp169,000",3/2026,2,0,682,https://www.udemy.com/course/solidworks-mastery/
Figma UI UX Design Advanced,5455710,Daniel Walter Scott,"Figma, User Experience (UX) Design, User Experience Design, Design",Design Tools,Intermediate,9 hours,4.7,9343,55654,"Rp169,000",11/2025,0,0,1,https://www.udemy.com/course/figma-ui-ux-design-advanced-tutorial/
Logo Design Mastery In Adobe Illustrator,2401332,Lindsay Marsh,"Logo Design, Adobe Illustrator, Graphic Design, Adobe Photoshop, Graphic Design & Illustration",Design Tools,All Levels,6 hours,4.6,5631,26829,"Rp149,000",9/2022,0,0,21,https://www.udemy.com/course/logo-design-mastery-in-adobe-illustrator/
Master Digital Product Design: UX Research & UI Design,2650928,Rob Sutcliffe,"Product Design, User Experience (UX) Design, Design Theory, User Interface Design, User Experience Design",Design Tools,All Levels,15.5 hours,4.6,13304,52520,"Rp149,000",11/2021,0,0,49,https://www.udemy.com/course/master-digital-product-design-ux-research-ui-design/
AI-Powered Entrepreneurship: Strategic Advantage & Scale,7111347,"Oak Academy, OAK Academy Team, Ali̇ CAVDAR","Entrepreneurship Fundamentals, Generative AI (GenAI), Startup, Business Strategy, Entrepreneurship",Design Tools,All Levels,19 hours,5.0,2,45,"Rp149,000",4/2026,1,0,0,https://www.udemy.com/course/the-ai-powered-founder-strategic-advantage-and-scale/
Canva Bootcamp: Basics to Pro Plus AI and 8 Real Projects,6925641,Vapa Academy,"Canva, Graphic Design & Illustration, Design",Design Tools,All Levels,12 hours,4.6,N/A,16,"Rp149,000",3/2026,2,0,2,https://www.udemy.com/course/canva-bootcamp-basics-to-pro-plus-ai-and-100-real-projects/
AI Agent Economy: Build Autonomous AI Businesses,7077593,School of AI,"AI Agents & Agentic AI, Other IT & Software, IT & Software",Design Tools,All Levels,4 hours,4.7,N/A,605,"Rp149,000",3/2026,14,0,0,https://www.udemy.com/course/ai-agent-economy-build-autonomous-ai-businesses/
Agentic AI Masterclass: Build AI Agents That Think & Plan,7126403,JayTech AI Academy,"AI Agents & Agentic AI, Artificial Intelligence (AI), Automation, Prompt Engineering, IT Certifications",Design Tools,All Levels,7.5 hours,4.5,3,103,"Rp169,000",N/A,1,0,1,https://www.udemy.com/course/agentic-ai-masterclass-build-ai-agents-that-think-plan/
Adobe Photoshop CC Training – Practice Exams & Quizzes,7114883,Farooq Ahmad,"Graphic Design, Web Design, Graphic Design & Illustration, Design",Design Tools,Beginner,N/A,4.6,N/A,N/A,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/adobe-photoshop-cc-training-practice-exams-quizzes/
RTL To GDSII: Installation and Tools Hands on Experience,7090217,AK APT LOGICS,"Very Large Scale Integration (VLSI), Linux, Open Source Tools, Hardware, IT & Software",Design Tools,All Levels,2.5 hours,5.0,1,213,"Rp149,000",4/2026,1,0,0,https://www.udemy.com/course/rtltogdsii/
Agentic AI Engineering with Claude Code,7110747,"Data Science Academy, School of AI","AI Agents & Agentic AI, Claude Code, Data Science, Development",Design Tools,All Levels,5 hours,5.0,1,413,"Rp149,000",3/2026,0,0,0,https://www.udemy.com/course/agentic-ai-engineering-with-claude-code/
AI Generalist Mastery: From Zero to Building Real AI Systems,7115563,School of AI,"Artificial Intelligence (AI), Data Science, Development",Design Tools,All Levels,4 hours,4.6,N/A,308,"Rp169,000",4/2026,23,0,0,https://www.udemy.com/course/ai-generalist-mastery/
Become Web Design PRO with Figma in 2026,6758987,Divyanshu Singh,"Web Design, Design",Design Tools,Beginner,19.5 hours,4.7,86,411,"Rp149,000",12/2025,0,0,0,https://www.udemy.com/course/become-web-design-pro-with-figma/
Canva Master Course 2026 | Design Smarter with Ronny & Diana,1626712,Ronny Hermosa,"Canva, Graphic Design, Business Branding",Design Tools,All Levels,34.5 hours,4.6,15817,86654,"Rp169,000",2/2026,12,0,0,https://www.udemy.com/course/canva-master-course-graphic-design-for-beginners/
DESIGN RULES: Principles + Practices for Great UI Design,1595266,Joe Natoli,"User Interface Design, GUI Programming, Visual Design, User Experience (UX) Design, Web Design",Design Tools,All Levels,5 hours,4.7,16650,64980,"Rp149,000",4/2025,0,0,0,https://www.udemy.com/course/design-rules/
Adobe Illustrator CC - Essentials Training Course,1514258,"Video School, Phil Ebiner, Daniel Walter Scott","Adobe Illustrator, Graphic Design, Logo Design, Character Design, Graphic Design & Illustration",Design Tools,Beginner,12 hours,4.7,32665,134422,"Rp159,000",1/2025,1,0,1,https://www.udemy.com/course/adobe-illustrator-course/
Figma AI Workflow: From Vision to Version,6701589,"Anton Voroniuk, Anton Voroniuk Support, Željko Milivojević","Figma, Generative AI (GenAI), Design Tools, Design",Design Tools,Intermediate,4 hours,4.3,460,13113,"Rp149,000",2/2026,1,0,1,https://www.udemy.com/course/design-smarter-using-figma-ai-from-idea-to-handoff/
Complete UI/UX Design Course 2026: Figma + AI + Real Project,6580053,Muhammad Iqbal,"Mobile App Design, Figma, Web Design, User Experience Design, Design",Design Tools,All Levels,26.5 hours,4.5,1298,7580,"Rp159,000",1/2026,0,0,45,https://www.udemy.com/course/complete-uiux-design-course-figma-ai-real-project/
Design AI Products,6948649,"Anton Voroniuk, Anton Voroniuk Support","AI Content Generation, Generative AI (GenAI), Design Tools, Design",Design Tools,Intermediate,2.5 hours,4.0,131,4756,"Rp149,000",3/2026,0,0,1,https://www.udemy.com/course/design-ai-products/
Adobe Illustrator CC: Essential Illustrator CC Training,2354804,"Louay Zambarakji, KaiVersity.com - Lucas Roomé","Vector Graphics, Graphic Design, Illustration, Adobe Illustrator, Graphic Design & Illustration",Design Tools,Beginner,10 hours,4.7,1178,29721,"Rp149,000",11/2025,1,0,3,https://www.udemy.com/course/adobe-illustrator-cc-graphic-design-training/
Graphic Design Theory - Web & Digital Design,4626688,Martin Perhiniak,"Web Design, Design Theory, Graphic Design, Design",Design Tools,All Levels,4.5 hours,4.0,7,71,"Rp149,000",5/2022,3,0,1,https://www.udemy.com/course/graphic-design-theory-web-digital-design/
Project Management for UX/UI Design - Design Master Class,4772386,Yasin Shaikh,"Project Management, User Experience (UX) Design, Product Management, User Experience Design, Design",Design Tools,All Levels,10.5 hours,4.0,44,234,"Rp149,000",10/2022,23,0,0,https://www.udemy.com/course/project-management-for-uxui-design-design-master-class/
