course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Decoding DevOps – From Basics to Advanced Projects with AI,4039556,Imran Teli,"DevOps, Other IT & Software, IT & Software",DevOps,All Levels,64 hours,4.6,46372,267061,"Rp159,000",3/2026,13,0,127,https://www.udemy.com/course/decodingdevops/
The Ultimate DevOps Bootcamp,4347106,"Mumshad Mannambeth, KodeKloud Training","DevOps, Linux, Kubernetes, Terraform, Other IT & Software",DevOps,Beginner,17.5 hours,4.7,9090,69101,"Rp169,000",3/2026,96,0,0,https://www.udemy.com/course/the-complete-devops-bootcamp/
Ultimate DevOps Real-World Project Implementation AWS Cloud,6453343,"Kalyan Reddy Daida | DevOps & SRE Architect on AWS, Azure & Google Cloud Platforms","DevOps, Kubernetes, Other IT & Software, IT & Software",DevOps,All Levels,38.5 hours,4.7,364,4840,"Rp149,000",1/2026,1,0,0,https://www.udemy.com/course/aws-eks-kubernetes-karpenter-devops-production/
AWS Certified DevOps Engineer Professional 2026 - DOP-C02,2533568,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer","AWS Certified DevOps Engineer - Professional, DevOps, IT Certifications, IT & Software",DevOps,Intermediate,17 hours,4.6,20389,175548,"Rp159,000",4/2026,4,0,0,https://www.udemy.com/course/aws-certified-devops-engineer-professional-hands-on/
Practice Exams | AWS Certified DevOps Engineer Professional,2567118,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Abhishek Singh","AWS Certified DevOps Engineer - Professional, IT Certifications, IT & Software",DevOps,N/A,N/A,4.1,2893,34993,"Rp5,709,000",5/2024,0,0,0,https://www.udemy.com/course/aws-certified-devops-engineer-professional-practice-exam-dop/
"GitLab CI/CD: Pipelines, CI/CD and DevOps for Beginners",2309602,"Valentin Despa, Valentin Despa - Support","CI/CD, Continuous Integration, Continuous Delivery, GitLab, Software Development Tools",DevOps,Beginner,14 hours,4.7,24479,142223,"Rp169,000",10/2025,5,0,81,https://www.udemy.com/course/gitlab-ci-pipelines-ci-cd-and-devops-for-beginners/
DevOps Projects | Real Time DevOps & GitOps Projects,3710504,Imran Teli,"DevOps, Other IT & Software, IT & Software",DevOps,Intermediate,37.5 hours,4.5,3959,50698,"Rp159,000",3/2026,2,0,63,https://www.udemy.com/course/devopsprojects/
Ultimate DevOps Project Implementation,6416543,Abhishek Veeramalla,"DevOps, Kubernetes, Cloud Computing, Amazon AWS, Other IT & Software",DevOps,Beginner,12 hours,4.7,5715,34998,"Rp149,000",3/2025,0,0,3,https://www.udemy.com/course/ultimate-devops-project-with-resume-preparation/
"DevOps Micro-Internship: Docker, K8s, Cloud + 4 Projects",6462549,Pravin Mishra | AWS Certified Cloud Practitioner | Solutions Architect,"Terraform, Azure DevOps, DevOps, Docker, IT Certifications",DevOps,Beginner,45.5 hours,4.5,706,4296,"Rp159,000",1/2026,14,0,36,https://www.udemy.com/course/devops-for-beginners-docker-k8s-cloud-cicd-4-projects/
"Learn DevOps: Docker, Kubernetes, Terraform and Azure DevOps",2813427,"in28Minutes Official, Ravi S | DevOps Expert - Docker & Kubernetes, Open Cloud Solutions | Microsoft Azure Certification - AZ 900, Ranga Karanam | GCP Certification - Google Cloud Engineer & Architect","DevOps, Azure DevOps, Docker, Kubernetes, Other IT & Software",DevOps,All Levels,21.5 hours,4.5,17561,163012,"Rp159,000",4/2025,28,0,0,https://www.udemy.com/course/devops-with-docker-kubernetes-and-azure-devops/
