course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
The Complete Full-Stack Web Development Bootcamp,1565838,"Dr. Angela Yu, Developer and Lead Instructor","Web Development, Node.Js, MongoDB, JavaScript, Development",Development,All Levels,61 hours,4.7,467862,1544118,"Rp169,000",11/2025,65,7,194,https://www.udemy.com/course/the-complete-web-development-bootcamp/
Complete web development course,6035102,Hitesh Choudhary,"Web Development, Development",Development,All Levels,100 hours,4.6,20254,71405,"Rp169,000",1/2026,24,45,50,https://www.udemy.com/course/web-dev-master/
Ultimate Web Development Course 2026 - Build Modern Websites,6716909,Haris Ali Khan,"Web Development, Development",Development,All Levels,22 hours,4.6,1775,7084,"Rp169,000",1/2026,0,0,204,https://www.udemy.com/course/codewithharry-web-development-course/
Complete Full Stack Web Development Bootcamp - AI Integrated,6061963,Manik (Cloudaffle),"Web Development, JavaScript, React JS, Full Stack Web Development, Development",Development,All Levels,62.5 hours,4.5,629,3473,"Rp169,000",1/2025,0,75,97,https://www.udemy.com/course/complete-full-stack-web-development-bootcamp/
100 Days Of Code - Web Development Bootcamp,4015622,"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller, Manuel Lorenz","Web Development, Development",Development,All Levels,79 hours,4.6,7747,46040,"Rp149,000",1/2026,32,0,18,https://www.udemy.com/course/100-days-of-code-web-development-bootcamp/
Software Development From A to Z - Learn What Truly Matters,826410,Karoly Nyisztor • Professional Software Architect,"Software Development, Software Engineering, Development",Development,Beginner,7 hours,4.7,3738,19866,"Rp149,000",3/2026,5,32,6,https://www.udemy.com/course/software-development-from-a-to-z/
100 Hours Web Development Bootcamp - Build 23 React Projects,6375895,Burak Orkmez,"Web Development, Development",Development,All Levels,132 hours,4.6,1193,10005,"Rp169,000",12/2025,34,0,27,https://www.udemy.com/course/the-web-dev-bootcamp/
Full Stack Web Development With MERN STACK & GenAI 2026,4505104,Masynctech Coding School,"Full Stack Web Development, HTML, Node.Js, Web Development, Development",Development,All Levels,89.5 hours,4.3,3752,28340,"Rp159,000",1/2026,45,15,112,https://www.udemy.com/course/fullstack-web-development-course-projects-base/
Software Development and IT - Complete Guide To Key Concepts,4879694,Kamil Kulik • Software Engineer,"Software Development, SDLC Software Development Life Cycle, Other IT & Software, IT & Software",Development,All Levels,6.5 hours,4.5,1812,10355,"Rp159,000",1/2025,4,8,1,https://www.udemy.com/course/software-development-and-it-complete-guide-to-key-concepts/
Full Stack Web Development: From Zero to Your First Job 2026,6844079,"Web Development Full Stack Web Development: mern, python, java, project","Web Development, Development",Development,All Levels,6 hours,4.8,99,206,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/full-stack-web-development-from-zero-to-your-first-job-g/
The Complete Python Developer,2473048,Andrei Neagoie,"Python, Programming Fundamentals, Programming Languages, Development",Development,All Levels,30.5 hours,4.6,60289,232611,"Rp309,000",3/2026,68,1,23,https://www.udemy.com/course/complete-python-developer-zero-to-mastery/
iOS & Swift - The Complete iOS App Development Bootcamp,1778502,"Dr. Angela Yu, Developer and Lead Instructor","Swift, Xcode, ARKit, iOS Development, Mobile Development",Development,All Levels,60 hours,4.6,96382,415723,"Rp169,000",11/2025,113,12,12,https://www.udemy.com/course/ios-13-app-development-bootcamp/
WEB DEVELOPMENT: Full Stack Web Development 2026,7105479,"Web Development Full Stack Web Development: mern, python, java, project","Web Development, Development",Development,All Levels,27.5 hours,5.0,13,21,"Rp149,000",4/2026,4,0,0,https://www.udemy.com/course/full-stack-web-development-2026-from-zero-to-professional/
Jetpack Compose | Beginner to Advanced Android Development,7054177,"Oak Academy, OAK Academy Team","Android Jetpack Compose, Kotlin, Android Jetpack, Android Development, Mobile Development",Development,All Levels,42 hours,4.7,5,45,"Rp149,000",4/2026,3,0,0,https://www.udemy.com/course/jetpack-compose-beginner-to-advanced-android-development/
B2B Sales With AI: AI for Business Development & B2B Sales,7087439,Lurnly Productions,"B2B Sales, Sales, Business",Development,All Levels,18.5 hours,4.6,N/A,16,"Rp149,000",4/2026,9,0,5,https://www.udemy.com/course/b2b-sales-with-ai-business-development-b2b-sales-with-ai/
"Modern API Development: REST, GraphQL & gRPC",6949193,Uplatz Training,"API, gRPC, REST API, GraphQL, Web Development",Development,All Levels,13.5 hours,5.0,1,1,"Rp149,000",2/2026,0,0,10,https://www.udemy.com/course/api-development-rest-graphql-grpc/
Agile for Hardware Development,7060147,J C | Auto PjM Institute,"Product Development, Automotive Engineering, Automotive Design, Agile, Engineering",Development,Beginner,2.5 hours,4.2,N/A,3,"Rp149,000",2/2026,0,0,0,https://www.udemy.com/course/agile-for-hardware-development/
Spec-Driven Development: designing deterministic AI systems,7056277,Skliar Serhii,"Software Engineering, Other IT & Software, IT & Software",Development,Intermediate,9 hours,4.1,21,220,"Rp149,000",2/2026,1,0,2,https://www.udemy.com/course/spec-driven-development-designing-deterministic-ai-systems/
AI in SDLC: Software Development Lifecycle with AI,7110729,Sandeep Soni,"SDLC Software Development Life Cycle, IT Certifications, IT & Software",Development,Intermediate,1.5 hours,4.5,N/A,4,"Rp159,000",3/2026,0,0,0,https://www.udemy.com/course/ai-in-sdlc-software-development-lifecycle-with-ai/
Learning & Development with Generative AI,6995279,PracticalGrowth Inc.,"Corporate Learning and Development (L&D), Generative AI (GenAI), Other Business, Business",Development,All Levels,1.5 hours,4.5,.,N/A,"Rp149,000",3/2026,0,0,28,https://www.udemy.com/course/learning-and-development-with-generative-ai/
The Complete Web Development Course - Build 15 Projects,548278,Development Island (UK),"Web Development, Web Design, Front End Web Development, PHP (programming language), Development",Development,All Levels,90 hours,4.5,8755,43475,"Rp149,000",9/2025,15,0,114,https://www.udemy.com/course/complete-web-development-course/
Learn Complete Modern Front-End Web Development Step-by-Step,3442782,Fatah Gabrial,"Front End Web Development, Web Development, Development",Development,All Levels,41.5 hours,4.4,4795,69708,"Rp149,000",2/2026,5,28,0,https://www.udemy.com/course/front-end-web-development-complete-guide-step-by-step/
The Complete Flutter Development Bootcamp with Dart,2259120,"Dr. Angela Yu, Developer and Lead Instructor","Google Flutter, Dart (programming language), Mobile App Development, Mobile Development, Development",Development,All Levels,28.5 hours,4.4,58578,213415,"Rp269,000",11/2025,54,0,2,https://www.udemy.com/course/flutter-bootcamp-with-dart/
Web Development Concepts for Everyone,4158836,Scott Bromander,"Web Development, Software Development, Development",Development,All Levels,6 hours,4.6,2572,9502,"Rp149,000",10/2025,1,0,1,https://www.udemy.com/course/web-development-concepts-for-everyone/
The Ultimate 2025 Fullstack Web Development Bootcamp,3655840,"Kane Ezki, Kalob Taulien, Radek Wilk","Full Stack Web Development, Web Development, Development",Development,All Levels,55 hours,4.5,8679,39289,"Rp169,000",1/2025,24,0,117,https://www.udemy.com/course/the-ultimate-fullstack-web-development-bootcamp/
"Full Stack Web Development with React JS, Angular and NodeJS",3770614,"Oak Academy, OAK Academy Team","Full Stack Web Development, HTML, JavaScript, Angular, Web Development",Development,All Levels,52.5 hours,4.5,967,4473,"Rp159,000",4/2026,6,0,0,https://www.udemy.com/course/full-stack-web-development-2021-guide-with-nodejs-mongodb/
Complete SDLC : Software Development Life Cycle SDLC (2026),5082220,Yogesh Dahake,"SDLC Software Development Life Cycle, Software Engineering, Development",Development,All Levels,15 hours,4.5,1405,11470,"Rp159,000",2/2026,1,0,27,https://www.udemy.com/course/complete-sdlc-software-development-life-cycle-sdlc/
Full Stack Web Development Megacourse: Beginner to Expert,6125131,Skillademia Academy,"Full Stack Web Development, Web Development, Python, SQL, Development",Development,All Levels,138.5 hours,4.5,176,6000,"Rp149,000",3/2026,0,0,10,https://www.udemy.com/course/full-stack-web-development-megacourse-beginner-to-expert/
Crash Course: Build a Full-Stack Web App in a Weekend!,4993934,Jonas Schmedtmann,"Full Stack Web Development, Supabase, Web Development, Development",Development,Beginner,12 hours,4.5,3896,28489,"Rp159,000",11/2024,3,0,10,https://www.udemy.com/course/full-stack-crash-course/
NestJS Masterclass - NodeJS Framework Backend Development,6048973,Manik (Cloudaffle),"NestJS, Back End Web Development, REST API, Node.Js, Web Development",Development,All Levels,24.5 hours,4.6,908,5060,"Rp159,000",2/2025,1,0,0,https://www.udemy.com/course/nestjs-masterclass-complete-course/
"50 Productivity, Personal Development & Time Management Tips",924746,Alex Genadinik,"Personal Productivity, Office Productivity, Personal Development",Development,Beginner,26.5 hours,4.7,3299,26527,"Rp219,000",4/2026,0,0,184,https://www.udemy.com/course/productivity-for-entrepreneurs-and-professionals/
Fast and Furious Game Development with JavaScript and AI,5562422,Andre LaMothe,"Game Development Fundamentals, JavaScript, ChatGPT, Game Development, Development",Development,All Levels,46.5 hours,4.8,253,2876,"Rp149,000",12/2025,0,0,6,https://www.udemy.com/course/fast-and-furious-game-development-with-javascript-and-ai/
Python and Django Full-Stack Web Development for beginners,3355136,Bluelime Learning Solutions,"API, Full Stack Web Development, Web Development, Development",Development,Beginner,34.5 hours,4.2,913,34300,"Rp149,000",3/2026,12,0,8,https://www.udemy.com/course/python-and-django-full-stack-web-development-for-beginners/
The Complete LPI Web Development Essentials Exam Study Guide,5365660,David Clinton,"LPI Web Development Essentials, JavaScript, CSS, Web Development, IT Certifications",Development,Beginner,2 hours,4.6,42,119,"Rp149,000",8/2023,1,0,19,https://www.udemy.com/course/complete-lpi-web-development-essentials-exam-study-guide/
"FullStack Web Development with ReactJS, ReactNative, Angular",3633716,"Oak Academy, OAK Academy Team","React Native, Angular, Mobile App Development, Web Development, Development",Development,All Levels,46 hours,4.3,183,2763,"Rp149,000",4/2026,6,0,0,https://www.udemy.com/course/mobile-and-web-development-with-react-js-native-angular/
AI Web Development & Indie Hacking Bootcamp,6932029,Brad Schiff,"Web Development, Artificial Intelligence (AI), Entrepreneurship, Business",Development,All Levels,7.5 hours,4.7,39,374,"Rp149,000",11/2025,0,0,33,https://www.udemy.com/course/ai-web-development-indie-hacking-bootcamp/
Android App Development with Kotlin | Beginner to Advanced,4390930,"Oak Academy, OAK Academy Team, Mehmet ÖNGEL","Android Development, Kotlin, Android Game Development, Android Jetpack, Mobile Development",Development,All Levels,55.5 hours,4.4,2267,15335,"Rp159,000",4/2026,12,0,8,https://www.udemy.com/course/android-app-development-with-kotlin-beginner-to-advanced/
HTML and CSS Web Development: Build Responsive Websites New,6688869,Shawn Nevin,"CSS, HTML, Web Development, Development",Development,All Levels,8.5 hours,4.9,360,1164,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/html-and-css-web-development-build-responsive-websites-new/
Reimagine Software Development Life Cycle (SDLC) with AI,6596851,Timotius Pamungkas,"SDLC Software Development Life Cycle, GitHub Copilot, Other IT & Software, IT & Software",Development,All Levels,4 hours,4.2,1148,7565,"Rp149,000",12/2025,1,0,1,https://www.udemy.com/course/software-development-life-cycle-sdlc-with-ai-github-copilot/
SDLC Overview (1 Hour) - Software Development Life Cycle,2321356,Sai Turlapati,"SDLC Software Development Life Cycle, Other IT & Software, IT & Software",Development,Beginner,1.5 hours,4.5,17279,50535,"Rp159,000",1/2021,4,0,8,https://www.udemy.com/course/sdlc-phases/
GitHub Copilot Beginner to Pro - AI for Coding & Development,4967038,"Tom Phillips, WebDevEducation (Tom Phillips)","GitHub Copilot, Generative AI (GenAI), Software Development Tools, Development",Development,All Levels,7 hours,4.5,55098,164222,"Rp159,000",4/2026,2,0,22,https://www.udemy.com/course/github-copilot/
SDLC - Software Development Life Cycle SDLC,4374016,Yogesh Dahake,"SDLC Software Development Life Cycle, IT Certifications, IT & Software",Development,Beginner,2.5 hours,4.5,7440,23202,"Rp159,000",7/2024,0,0,7,https://www.udemy.com/course/sdlc-software-development-life-cycle-lifecycle-process/
Secure Coding - Secure application development,2914898,G.L. Golinelli,"Generic Programming, IT Requirements, Other IT & Software, IT & Software",Development,Intermediate,2.5 hours,4.4,8876,16846,"Rp149,000",6/2025,0,0,0,https://www.udemy.com/course/secure-coding-secure-application-development/
React JS: React with Modern Hooks and Context,3308516,"Oak Academy, OAK Academy Team","React Hooks, Web Development, Development",Development,All Levels,16.5 hours,4.6,237,1502,"Rp149,000",4/2026,3,0,0,https://www.udemy.com/course/react-js-react-with-modern-hooks-and-context/
"Full Stack Web Development with C# OOP, MS SQL & ASP.NET MVC",3498608,"Oak Academy, OAK Academy Team","ASP.NET MVC, C# (programming language), Microsoft SQL, Web Development, Development",Development,All Levels,41 hours,4.3,1410,16690,"Rp159,000",4/2026,5,0,0,https://www.udemy.com/course/full-stack-web-development-with-c-oop-ms-sql-aspnet-mvc/
Mastering Microcontroller and Embedded Driver Development,643206,"FastBit Embedded Brain Academy, Kiran Nayak","Microcontroller, Embedded Systems, Hardware, IT & Software",Development,All Levels,28.5 hours,4.6,12989,79712,"Rp159,000",4/2026,9,0,23,https://www.udemy.com/course/mastering-microcontroller-with-peripheral-driver-development/
LPI Web Development Essentials (Exam 030-100) Practice Tests,5692592,On Top eLearning,"LPI Web Development Essentials, Web Development, IT Certifications, IT & Software",Development,All Levels,N/A,4.9,30,64,N/A,1/2026,0,0,0,https://www.udemy.com/course/lpi-web-development-essentials-exam-030-100-practice-tests/
