course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Online Business Masterclass: Sell Your Own Digital Products,3693246,"Diego Davila • 1.000.000+ Students, Phil Ebiner, Video School, Diego Davila Support","Online Business, Business Fundamentals, Digital Marketing, Digital Product, Entrepreneurship",Digital Camera Functionality,Beginner,24.5 hours,4.3,1449,17354,"Rp149,000",5/2025,22,0,1,https://www.udemy.com/course/digital-product-masterclass/
ChatGPT & Midjourney: 23 Ways of Earning Money with AI,5221266,"Diego Davila • 1.000.000+ Students, Phil Ebiner, Diego Davila Support, Video School","ChatGPT, Midjourney, Online Business, Home Business, Entrepreneurship",Digital Camera Functionality,All Levels,10.5 hours,4.7,2148,16923,"Rp149,000",10/2025,6,0,4,https://www.udemy.com/course/chatgpt-midjourney-ai-online-business-freelancing-passive-income/
Online Business Mastery 2026: Sell Your Digital Products,6578071,Tanmoy Das,"Online Business, Online Course Creation, Teaching Online, Online Course Marketing, Entrepreneurship",Digital Camera Functionality,Beginner,5.5 hours,4.7,220,9000,"Rp159,000",12/2025,5,0,0,https://www.udemy.com/course/online-business-mastery-2025-sell-your-digital-products/
Creating Online Course with AI,5595268,Christ Raharja,"Online Course Creation, Online Course Marketing, Teaching Online, Generative AI (GenAI), Entrepreneurship",Digital Camera Functionality,Beginner,2.5 hours,4.6,37,3183,"Rp149,000",10/2023,0,0,2,https://www.udemy.com/course/creating-online-course-with-ai/
Create The Best Online Courses Without Being On Camera,2218024,Pat Parra,"Online Course Creation, Online Course Marketing, Online Education, Teaching & Academics",Digital Camera Functionality,Beginner,1.5 hours,4.6,364,4781,"Rp249,000",11/2022,2,0,0,https://www.udemy.com/course/create-the-best-online-courses-without-being-on-camera/
+100 Ways of Earning Money with AI Tools,6048349,Włodzimierz Iwanowski,"Business Development, Sales, Business",Digital Camera Functionality,Beginner,17.5 hours,3.9,19,345,"Rp149,000",4/2026,0,0,0,https://www.udemy.com/course/earn-money-with-ai-proven-strategies/
Website Business-Create & Sell High-Ticket Digital Products,403092,Laura Rimmer (née Wilson),"Digital Product, Online Business, Internet Marketing, Content Marketing, Marketing",Digital Camera Functionality,All Levels,16 hours,4.4,112,2459,"Rp149,000",8/2017,0,0,0,https://www.udemy.com/course/ibrandboost/
21 AI Business Models to Make Passive Income Online in 2025,6376557,Passive Income Gen Z,"Passive Income, Entrepreneurship, Business",Digital Camera Functionality,All Levels,57 hours,4.4,239,3321,"Rp159,000",2/2026,0,0,9,https://www.udemy.com/course/21-ai-business-models-to-make-passive-income-online-in-2025/
Passive income using ChatGPT & Google Bard & Voiceover AI,5351838,Passive Income Gen Z,"Affiliate Marketing, ChatGPT, Digital Marketing, Marketing",Digital Camera Functionality,Beginner,13.5 hours,4.5,66,794,"Rp149,000",3/2025,1,0,2,https://www.udemy.com/course/passive-income-using-chatgpt-google-bard-voiceover-ai-course/
59+ ChatGPT HACKS To Make Money Online,5457592,Passive Income Gen Z,"ChatGPT, Generative AI (GenAI), Other Office Productivity, Office Productivity",Digital Camera Functionality,All Levels,68 hours,4.3,496,5921,"Rp199,000",2/2026,0,0,55,https://www.udemy.com/course/59-chatgpt-hacks-to-make-money-online-in-2023/
"Digital Products Masterclass: Courses, E-Books & Audiobooks",2765594,Business Hero,"E-Commerce, eBook Creation, Online Course Creation, Entrepreneurship, Business",Digital Camera Functionality,All Levels,10 hours,4.6,111,917,"Rp149,000",5/2020,1,0,5,https://www.udemy.com/course/digital-products-masterclass/
AI Stock Photography: Create and Make Money With AI Art,5994526,"DFA Course Academy, New Anthem Learning, Krystian Wojtarowicz","Generative AI (GenAI), Other IT & Software, IT & Software",Digital Camera Functionality,All Levels,4 hours,4.6,161,911,"Rp149,000",6/2025,2,0,7,https://www.udemy.com/course/ai-stock-photography/
Code & Grow Rich: Earn More As An Entrepreneur Or Developer,481696,Brian Ortiz,"Entrepreneurship Fundamentals, Web Development, Development",Digital Camera Functionality,All Levels,47.5 hours,4.2,99,7832,"Rp149,000",2/2016,0,0,28,https://www.udemy.com/course/code-grow-rich-earn-more-as-an-entrepreneur-or-developer/
Beginner's Guide: Create & Sell Your First Digital Course,4301141,Anthony Maritato,"Online Course Creation, Content Marketing, Marketing",Digital Camera Functionality,Beginner,3 hours,4.7,9,55,"Rp149,000",10/2021,0,0,1,https://www.udemy.com/course/beginners-guide-to-creating-your-first-digital-course/
Etsy AI Goldmine: Sell 100 Digital Products - Hands On HACKS,6492421,Passive Income Gen Z,"Etsy, Digital Product, E-Commerce, Business",Digital Camera Functionality,All Levels,25 hours,4.3,44,764,"Rp149,000",7/2025,1,0,0,https://www.udemy.com/course/etsy-ai-goldmine-sell-100-digital-products-hands-on-hacks/
12 in 1 ChatGPT Fiverr Copywriting Hacks: Make Money Online,5405892,Passive Income Gen Z,"Writing, ChatGPT, Freelancing, Data Science, Development",Digital Camera Functionality,Beginner,8.5 hours,4.8,34,448,"Rp149,000",3/2025,0,0,1,https://www.udemy.com/course/12-in-1-chatgpt-fiverr-copywriting-hacks-make-money-online/
Building a Digital Business Strategy,509344,Mike Connor,"Business Strategy, Business Fundamentals, Business",Digital Camera Functionality,Intermediate,2.5 hours,4.4,21734,43933,"Rp149,000",12/2015,0,0,1,https://www.udemy.com/course/building-a-digital-business-strategy/
How to Teach Online: Create & Sell Your First Course,6990983,J. Anthony Allen,"Online Course Creation, Online Education, Teaching & Academics",Digital Camera Functionality,All Levels,2 hours,4.4,2,286,"Rp149,000",12/2025,2,0,2,https://www.udemy.com/course/how-to-teach-online-class/
