course_title,course_id,lecturer_name,related_topics,subject,level,durations,ratings,num_ratings,student,price,last_update,articles,exercise,downloadable_resources,url
Corporate and Business Law,1668394,Rowan Malherbe,"Law, Business Fundamentals, Business Strategy, Business Law, Business",Business Law,Beginner,N/A,4.5,550,3050,"Rp149,000",4/2018,0,0,0,https://www.udemy.com/course/corporate-and-business-law/
Business Law for Entrepreneurs and Managers,3379536,Ed Barton,"Business Law, Law, Business",Business Law,All Levels,13.5 hours,4.5,143,962,"Rp149,000",10/2020,6,0,0,https://www.udemy.com/course/business-law-for-entrepreneurs-and-managers/
Legal English Complete: Master Legal Communication,6409551,David Morris,"Legal English, English Language, Business English, Language Learning, Teaching & Academics",Business Law,All Levels,11 hours,4.7,335,2804,"Rp159,000",3/2026,0,0,2,https://www.udemy.com/course/legal-english-complete/
Effective Legal Office Administration,1651206,Stone River eLearning,"Office Administration, Humanities, Teaching & Academics",Business Law,All Levels,8 hours,4.5,2245,8227,"Rp209,000",3/2023,0,0,13,https://www.udemy.com/course/effective-legal-office-administration/
Business Law Basic Concepts,4995494,Sorin Dumitrascu,"Business Law, Business",Business Law,Beginner,2 hours,4.5,10,140,"Rp149,000",11/2025,4,0,34,https://www.udemy.com/course/business-law-basic-concepts/
Business Law for Business Managers,4988006,Sorin Dumitrascu,"Business Law, Business",Business Law,Beginner,5.5 hours,4.7,9,384,"Rp149,000",11/2025,10,0,100,https://www.udemy.com/course/business-law-for-business-managers/
Executive Juris Doctor,4088964,"Shane Patrick Irvine, J.D.","Law, Business Law, Business",Business Law,Expert,9.5 hours,4.7,118,754,"Rp149,000",1/2026,0,0,1,https://www.udemy.com/course/executive-juris-doctor/
"Master Business Law: Ethics, Taxes, Liability & Legal Rights",6745559,Fahad Virk,"Business Law, Business",Business Law,All Levels,1 hour,4.3,13,40,Free,7/2025,0,0,0,https://www.udemy.com/course/master-business-law-ethics-taxes-liability-legal-rights-z/
Certified Contract Law Specialist (CCLS),6389977,YouAccel Training,"Contract Law, Business Law, Business",Business Law,All Levels,18.5 hours,4.3,141,2905,"Rp149,000",1/2025,1,0,75,https://www.udemy.com/course/certified-contract-law-specialist/
Business Law: A Comprehensive Summary,2472114,Shaveen Bandaranayake,"Business Law, Business",Business Law,All Levels,6 hours,4.0,29,179,"Rp149,000",7/2019,0,0,0,https://www.udemy.com/course/learn-business-law/
Learn Business Law,3738722,Austin Megli,"Business Law, Business",Business Law,All Levels,1 hour,4.5,6,45,"Rp149,000",12/2020,0,0,0,https://www.udemy.com/course/learn-business-law-a/
English for Business and Law - Contract Law,3347736,"David Wallace, MA, Dip TESOL, Dip Teaching","English Vocabulary, Law, Business Law, Business",Business Law,Intermediate,1.5 hours,4.6,1201,5709,"Rp149,000",4/2021,18,0,9,https://www.udemy.com/course/legal_english-contracts/
Intro to Business Law for Entrepreneurs (+Free Book!),739580,Chris Haroun | 1.5 Million Students | #1 Best Selling Business & Finance Prof.,"Business Law, Law, Business",Business Law,All Levels,2 hours,4.5,422,12301,"Rp149,000",5/2025,4,0,1,https://www.udemy.com/course/introduction-to-business-law-for-entrepreneurs-mba-business-school/
ACCA - Corporate and Business Law (CW) - A complete course,3976300,Navkar Digital Institute,"Business Law, Law, Corporate Governance, Business",Business Law,Beginner,32.5 hours,4.2,59,510,"Rp149,000",4/2021,0,0,0,https://www.udemy.com/course/acca-business-law/
"Business Law, Employment Law & Administrative Law(101 level)",5432280,Dr. José Prabhu J,"Business Law, Administrative Law, Employment Law, Business",Business Law,All Levels,1 hour,4.1,86,8709,"Rp149,000",7/2025,0,0,0,https://www.udemy.com/course/business-law-employment-law-administrative-law-101-level/
Law: A Comprehensive Summary for LLB Students,667602,Shaveen Bandaranayake,"Law, Social Science, Teaching & Academics",Business Law,All Levels,16 hours,4.5,320,2311,"Rp149,000",7/2018,0,0,57,https://www.udemy.com/course/learn-the-law/
"Legal Tech and AI for lawyers, law students and professional",45569,Diwakar Thakore,"Digital Transformation, Business Law, Business",Business Law,All Levels,5 hours,4.5,964,5251,"Rp149,000",8/2025,15,0,2,https://www.udemy.com/course/legal-tech-become-a-new-age-digital-law-legal-professional/
Business Law for Entrepreneurs,147052,Christine Williams,"Business Law, Entrepreneurship Fundamentals, Business Fundamentals, Law, Business",Business Law,Beginner,40 mins,4.5,70,1144,"Rp149,000",9/2025,0,0,2,https://www.udemy.com/course/business-law-for-entrepreneurs/
Business Law Essentials,799048,Stephen Kane,"Business Law, Business Fundamentals, Business Strategy, Startup, Business",Business Law,All Levels,1.5 hours,4.3,39,207,"Rp149,000",12/2018,0,0,0,https://www.udemy.com/course/essentials-of-start-up-small-business-law/
Business Law and Ethics,5001534,Sorin Dumitrascu,"Business Law, Business",Business Law,Beginner,2 hours,4.6,13,157,Free,11/2025,4,0,38,https://www.udemy.com/course/business-law-and-ethics/
Mastery of Corporate Law,3852390,Sentinel | 9,"Business Law, Business",Business Law,Beginner,1 hour,4.3,29,107,"Rp149,000",8/2022,0,0,0,https://www.udemy.com/course/business-law-applied-fundamentalist/
Learning Business Contracts for Beginners,873482,Eliot Wagonheim,"Contract Law, Business Fundamentals, Business Strategy, Contract Negotiation, Business Law",Business Law,Beginner,1.5 hours,4.4,3617,20667,"Rp149,000",11/2017,0,0,10,https://www.udemy.com/course/winning-with-contracts/
Company Law: A Comprehensive Summary,2408052,Shaveen Bandaranayake,"Business Law, Social Science, Teaching & Academics",Business Law,Beginner,3 hours,4.5,734,2623,"Rp149,000",7/2019,0,0,5,https://www.udemy.com/course/learn-company-law/
"Legal Draftings | Pleadings, Affidavits, Applications, etc.",5812258,SkillxPro Edu,"Law, Business Law, Business",Business Law,All Levels,3 hours,4.5,376,1933,"Rp149,000",7/2024,23,0,0,https://www.udemy.com/course/drafting-litigation/
Certificate Course on Company Law,6425413,Lawful Legal,"Business Law, Business",Business Law,All Levels,11.5 hours,4.9,5,41,"Rp149,000",1/2025,0,0,0,https://www.udemy.com/course/certificate-course-on-company-law/
An Entire MBA in 1 Course:Award Winning Business School Prof,637930,Chris Haroun | 1.5 Million Students | #1 Best Selling Business & Finance Prof.,"Business Fundamentals, MBA, Entrepreneurship, Business",Business Law,All Levels,8 hours,4.6,63263,509096,"Rp299,000",5/2025,36,0,31,https://www.udemy.com/course/an-entire-mba-in-1-courseaward-winning-business-school-prof/
Drafting of Commercial Contracts,4864590,SkillxPro Edu,"Contract Management, Business Law, Business",Business Law,All Levels,4 hours,4.3,1040,4243,"Rp149,000",7/2024,12,0,3,https://www.udemy.com/course/commercialcontracts/
Basic Business Law for Entrepreneurs,6121591,Dr. Kenneth J. Henry,"Business Law, Business",Business Law,Beginner,2.5 hours,4.5,3,6,"Rp149,000",8/2024,0,0,5,https://www.udemy.com/course/basic-business-law-for-entrepreneurs/
Introduction to Law in the U.S. (for most non-lawyers),4858120,John Bandler,"Law, Social Science, Teaching & Academics",Business Law,Beginner,4 hours,4.6,178,1747,"Rp149,000",1/2025,0,0,1,https://www.udemy.com/course/introduction-to-law/
Certified HR Legal Compliance Officer (CHRLCO),6390201,YouAccel Training,"Employment Law, Human Resources, Business",Business Law,All Levels,18 hours,4.2,73,1684,"Rp159,000",1/2025,1,0,75,https://www.udemy.com/course/certified-hr-legal-compliance-officer/
Complete Legal English for Law Students and Lawyers,2525000,Ralph Dzegniuk,"Legal English, Business Law, Business",Business Law,Intermediate,1 hour,4.3,229,6219,"Rp149,000",8/2023,2,0,42,https://www.udemy.com/course/complete-legal-english-for-students-and-legal-professionals/
Business Law & Contract Management,7036043,Course Planet,"Business Law, Contract Management, Personal Productivity, Personal Development",Business Law,All Levels,1.5 hours,4.1,N/A,2,"Rp149,000",1/2026,0,0,0,https://www.udemy.com/course/business-law-contract-management/
English for Business and Law - Commercial Law,3658808,"David Wallace, MA, Dip TESOL, Dip Teaching","Business English, English Language, Law, Business Law, Business",Business Law,All Levels,2 hours,4.2,154,872,"Rp149,000",4/2021,12,0,13,https://www.udemy.com/course/business_english_types-of-business/
Generative AI for Contracting & Legal Drafting,6702231,Edcorner Learning,"Generative AI (GenAI), Business Law, Business",Business Law,All Levels,1 hour,3.9,50,201,"Rp149,000",11/2025,55,0,3,https://www.udemy.com/course/generative-ai-for-contracting-legal-drafting/
"Legal English & US Law: Legal Writing, Drafting & Vocabulary",6713089,RCM Academy,"Legal English, Business Law, Business",Business Law,All Levels,4 hours,4.6,29,1344,"Rp159,000",8/2025,0,0,0,https://www.udemy.com/course/legal-english-writing/
Navigating the Legal Side of Business Leadership,5037048,Sorin Dumitrascu,"Business Law, Business",Business Law,Beginner,2 hours,4.1,3,146,"Rp149,000",11/2025,4,0,28,https://www.udemy.com/course/navigating-the-legal-side-of-business-leadership/
Certificate in In-House Legal Skills,6676069,Nidhi Malhotra,"Business Law, Business",Business Law,All Levels,7 hours,3.9,13,75,"Rp149,000",6/2025,0,0,65,https://www.udemy.com/course/certificate-in-in-house-legal-skills/
How Manipulation Works In Legal Practice (Lawyers/Attorneys),4266274,Vasco Patrício,"Business Law, Persuasion, Legal Research, Business",Business Law,All Levels,2.5 hours,4.6,38,2547,Free,2/2026,1,0,30,https://www.udemy.com/course/manipulation-legal-practice/
Litigation (Civil),4194954,SkillxPro Edu,"Law, Law Enforcement, Business Law, Business",Business Law,All Levels,7 hours,4.5,155,1382,"Rp149,000",11/2025,59,0,18,https://www.udemy.com/course/litigation/
Master Course in Contract Law and Contract Management 3.0,5815962,Dr. José Prabhu J,"Contract Law, Contract Management, Contract Negotiation, Management, Business",Business Law,All Levels,1.5 hours,4.1,98,6247,"Rp149,000",6/2025,0,0,0,https://www.udemy.com/course/master-course-in-contract-law-and-contract-management/
Legal English and Intro to US Law - Complete Overview Course,5470732,"Harvey Zeytuntsyan, J.D., Informed Educational Insights LLC","Legal English, Business Law, Business",Business Law,All Levels,5 hours,4.7,44,197,"Rp149,000",4/2024,0,0,3,https://www.udemy.com/course/legal-english-us-legal-system/
Legal English Mastery: The Complete Course For Law Students,6925951,Zain Ul Hasan,"Legal English, Language Learning, Teaching & Academics",Business Law,All Levels,2.5 hours,4.6,6,115,"Rp149,000",11/2025,0,0,2,https://www.udemy.com/course/legal-english-mastery-complete-course/
Corporate Law for Non-Lawyers: Everything You Need To Know,5085942,ALMeta Media,"Law, Management Skills, Business Consulting, Business Law, Business",Business Law,Beginner,1 hour,3.8,2,17,"Rp149,000",1/2023,0,0,0,https://www.udemy.com/course/corporate-law-for-non-lawyers/
